Chr	Start	End	SRR445016_pairs_Chimeric.out.junction
chr1	17393	17607	1
chr1	17915	17974	1
chr1	881950	883510	3
chr1	881963	882136	1
chr1	891303	892405	2
chr1	891303	892653	11
chr1	902511	902693	1
chr1	910278	910337	1
chr1	957581	957842	3
chr1	957581	981256	1
chr1	967165	970704	1
chr1	980904	981092	3
chr1	983064	983133	2
chr1	1085437	1085489	1
chr1	1158624	1159348	6
chr1	1158624	1164326	1
chr1	1190614	1192690	1
chr1	1191425	1192690	2
chr1	1191425	1198766	2
chr1	1191425	1203372	5
chr1	1192372	1192690	91
chr1	1192372	1203372	9
chr1	1192372	1203991	1
chr1	1197550	1198766	1
chr1	1198726	1203372	3
chr1	1203265	1203361	1
chr1	1231116	1231318	1
chr1	1255836	1256960	1
chr1	1273357	1274033	1
chr1	1273357	1278138	2
chr1	1275116	1277185	1
chr1	1322615	1326245	20
chr1	1325610	1325751	1
chr1	1335491	1335721	1
chr1	1424584	1426051	3
chr1	1499985	1500296	8
chr1	1599766	1601590	4
chr1	1601103	1601590	5
chr1	1602785	1603068	1
chr1	1685848	1685982	1
chr1	1686813	1687782	2
chr1	1693016	1693474	3
chr1	1693391	1696885	2
chr1	1717719	1722035	2
chr1	1718930	1747301	1
chr1	1718930	1720436	1
chr1	1720492	1722035	2
chr1	1720492	1756938	1
chr1	1720492	1770677	1
chr1	1721834	1722035	16
chr1	1721834	1724750	2
chr1	1721834	1749314	1
chr1	1724684	1747301	2
chr1	1724684	1749314	11
chr1	1724684	1770677	1
chr1	1735858	1737977	138
chr1	1735858	1747301	9
chr1	1735858	1749314	113
chr1	1735858	1756938	22
chr1	1735858	1770677	8
chr1	1737914	1756938	4
chr1	1737914	1770677	9
chr1	1737914	1740001	1
chr1	1737914	1749314	14
chr1	1747040	1749314	1
chr1	1747040	1756938	1
chr1	1747040	1770677	1
chr1	1747195	1749314	4
chr1	1747195	1756938	149
chr1	1747195	1770677	71
chr1	1747195	1805557	1
chr1	1749276	1770677	3
chr1	1756836	1770677	17
chr1	1763671	1763921	1
chr1	1763671	1770677	3
chr1	1992875	1993128	2
chr1	2014478	2014654	1
chr1	2172058	2172231	2
chr1	2234417	2236024	26
chr1	2327223	2328659	1
chr1	2327223	2332374	5
chr1	2327223	2333781	2
chr1	2327223	2335028	3
chr1	2332296	2335028	1
chr1	2441080	2441213	1
chr1	2450582	2450763	1
