junction	orig_count	orig_posterior	swapped_count	swapped_posterior	total_reads
chr12|TAOK3:118671478|TAOK3:118704564|rev|-	0	0.0	1	0.640472666262	1
chr16|CARHSP1:8952206|CARHSP1:8953192|rev|-	1	0.413077070288	0	0	1
chr12|CSRNP2:51461455|CSRNP2:51467865|rev|-	0	0.0	1	0.770351550406	1
chr1|EVI5:93029198|EVI5:93073284|rev|-	0	0.0	1	0.77422367694	1
chr1|RCAN3:24841057|RCAN3:24840803|dup|+	4	0.962465013835	4	0.987724930531	7
chr12|TXNRD1:104719207|TXNRD1:104712690|rev|+	0	0.0	1	0.640471587032	1
chr1|PLOD1:12014950|PLOD1:12008032|rev|+	1	0.64059872957	0	0	1
chr1|UBR4:19523634|UBR4:19528309|rev|-	1	0.716019057244	0	0	1
chr19|ZNF613:52439488|ZNF613:52432984|rev|+	1	0.688169998285	0	0	1
chrX|POLA1:24906239|POLA1:24763534|rev|+	2	0.0418728506235	2	0.184558903317	4
chr13|TMCO3:114193822|TMCO3:114149816|rev|+	1	0.700043535752	0	0	1
chr22|GGT1:25024355|SPECC1L:24709280|rev|+	1	0.000141183196113	0	0	1
chr12|ACTR6:100599522|ACTR6:100598717|rev|+	2	0.603631071167	3	0.925818005198	4
chr7|SLC25A40:87483518|SLC25A40:87485666|rev|-	1	0.720804104219	0	0	1
chr21|RUNX1:36231770|RUNX1:36259393|rev|-	0	0.0	1	0.776717162042	1
chr11|RSF1:77436589|RSF1:77458173|rev|-	1	0.633196823507	0	0	1
chr17|ATP6V0A1:40647734|ATP6V0A1:40632684|rev|+	1	0.661980529509	0	0	1
chr1|ASPM:197086918|ASPM:197094321|rev|-	2	0.861145467287	1	0.749349766445	3
chr10|PIP4K2A:22880557|PIP4K2A:22898646|rev|-	2	0.821199981088	0	0	2
chr9|EHMT1:140676849|EHMT1:140669560|rev|+	4	0.970365341946	2	0.917846114375	6
chr12|SART3:108936803|SART3:108942990|rev|-	1	0.733452061662	0	0	1
chr3|CEP70:138289875|CEP70:138290198|rev|-	2	0.209449593309	0	0	2
chr1|TAF5L:229745852|TAF5L:229750232|rev|-	1	0.655000298205	0	0	1
chr2|SLC4A1AP:27905226|SLC4A1AP:27900161|rev|+	0	0.0	1	0.77422367694	1
chr11|KDM2A:66986874|KDM2A:66982810|rev|+	1	0.705628242302	0	0	1
chr3|PRKCI:170016898|PRKCI:170013698|rev|+	0	0.0	1	0.610832791702	1
chr9|KIAA0368:114187697|KIAA0368:114206774|rev|-	1	0.66879959886	0	0	1
chr1|RFWD2:175996707|RFWD2:176015460|rev|-	1	0.668808400034	0	0	1
chr3|XRN1:142074242|XRN1:142095436|rev|-	0	0.0	1	0.776458069918	1
chr8|DOCK5:25168048|DOCK5:25132901|rev|+	1	0.661980529509	0	0	1
chr18|DYM:46889530|DYM:46906128|rev|-	2	0.854172910121	1	0.774090275538	3
chr8|CSPP1:68031056|CSPP1:68007527|rev|+	0	0.0	1	0.737334245107	1
chr9|ASS1:133355836|ASS1:133329691|rev|+	3	0.48685347661	2	0.590905942723	4
chr11|STIP1:63962092|STIP1:63960549|rev|+	1	0.767089867694	0	0	1
chr6|UBR2:42604932|UBR2:42603155|rev|+	1	0.76550039613	1	0.636861415944	1
chr3|FOXP1:71247352|FOXP1:71630848|rev|-	1	0.756278772875	0	0	1
chr1|ANKRD13C:70736538|ANKRD13C:70742527|rev|-	1	0.700044859275	0	0	1
chr14|NEK9:75567694|NEK9:75570700|rev|-	3	0.956799592555	2	0.92011841174	4
chr3|TOPBP1:133327378|TOPBP1:133335769|rev|-	0	0.0	1	0.477179661746	1
chr19|ASF1B:14232343|ASF1B:14237049|rev|-	2	0.816564429316	0	0	2
chr8|ELP3:28019595|ELP3:27987018|rev|+	1	0.71095709249	0	0	1
chr3|TIMMDC1:119236162|TIMMDC1:119222800|rev|+	0	0.0	1	0.770082541991	1
chr5|DROSHA:31410852|DROSHA:31466388|rev|-	0	0.0	1	0.696875863171	1
chr15|SEC11A:85223943|SEC11A:85231005|rev|-	1	0.756278772875	1	0.776717162042	2
chr19|LSM14A:34706566|LSM14A:34699833|rev|+	2	0.479243193211	1	0.776264685904	3
chr2|PXDN:1691403|PXDN:1696906|rev|-	0	0.0	2	0.921011945201	2
chr8|KIAA1429:95549330|KIAA1429:95550574|rev|-	4	0.0114552854228	2	0.922653112717	4
chr9|ZCCHC6:88918000|ZCCHC6:88919862|rev|-	3	0.904718573903	4	0.970858847641	6
chr3|PLOD2:145838898|PLOD2:145842016|rev|-	5	0.832868976066	6	0.997716758539	7
chrX|ENOX2:129799616|ENOX2:129813722|rev|-	1	0.770088011313	0	0	1
chr9|FANCC:98002930|FANCC:98011651|rev|-	2	0.892303599511	1	0.605027430277	3
chr5|LOC553103:131667881|FSTL4:132537734|rev|-	1	0.000685781700738	0	0	1
chr8|TMEM65:125332326|TMEM65:125343033|rev|-	1	0.705615365201	1	0.77496378656	2
chr3|HEMK1:50617660|HEMK1:50608361|rev|+	1	0.705628242302	0	0	1
chr14|PSMC6:53187908|PSMC6:53187578|rev|+	1	0.751753605741	1	0.764422953558	2
chr16|CCNF:2499916|CCNF:2498855|rev|+	1	0.630349309015	0	0	1
chr5|GFPT2:179762827|GFPT2:179765600|rev|-	0	0.0	1	0.701431017892	1
chr4|SDAD1:76898798|SDAD1:76903190|rev|-	0	0.0	1	0.774090275538	1
chr6|NCOA7:126211956|NCOA7:126176165|rev|+	1	0.763840076652	0	0	1
chr22|EP300:41536261|EP300:41521867|rev|+	1	0.760267590743	1	0.767988686333	1
chr7|SBDS:66458203|SBDS:66458404|dup|-	1	0.628435946825	0	0	1
chr12|DRAM1:102313979|DRAM1:102301963|rev|+	1	0.758332080832	0	0	1
chr1|DNAH14:225284941|DNAH14:225270250|rev|+	1	0.758332080832	3	0.955115089496	4
chr9|ZER1:131502209|ZER1:131505024|rev|-	1	0.758332080832	1	0.776458069918	1
chr15|TUBGCP5:22851109|TUBGCP5:22845761|rev|+	0	0.0	1	0.776093844754	1
chr12|STX2:131283069|STX2:131306333|rev|-	1	0.352611265548	0	0	1
chr15|TIPIN:66641397|TIPIN:66641775|rev|-	2	0.143968180378	3	0.976113692264	4
chr7|STK17A:43659322|STK17A:43647854|rev|+	1	0.661979094666	0	0	1
chr15|GABPB1:50592985|GABPB1:50595320|rev|-	1	0.756278772875	0	0	1
chr21|TTC3:38467744|TTC3:38459546|rev|+	1	0.740496355648	0	0	1
chr7|PUS7:105105759|PUS7:105111295|rev|-	1	0.66879959886	1	0.764052403135	2
chr3|PDIA5:122843190|PDIA5:122808014|rev|+	1	0.66879959886	0	0	1
chr8|MTFR1:66617164|MTFR1:66582107|rev|+	0	0.0	1	0.776458069918	1
chr16|EEF2K:22237296|EEF2K:22236974|dup|+	2	0.895621060707	1	0.77422367694	3
chr2|EML6:55056614|EML6:55047530|rev|+	0	0.0	1	0.775021228096	1
chr3|SUMF1:4490949|SUMF1:4494733|rev|-	0	0.0	1	0.274495338249	1
chr11|ARHGAP42:100820687|ARHGAP42:100812514|rev|+	1	0.0393703292194	0	0	1
chr20|PTPRA:2988066|PTPRA:2967410|rev|+	1	0.720804104219	0	0	1
chr11|ARHGEF12:120348235|ARHGEF12:120346048|rev|+	1	0.633196823507	1	0.700568840344	2
chr14|ADSSL1:105211246|ADSSL1:105206086|rev|+	1	0.630349309015	0	0	1
chr4|G3BP2:76580249|G3BP2:76581054|rev|-	0	0.0	1	0.776670358986	1
chr5|FAM13B:137320945|FAM13B:137356886|rev|-	1	0.716019057244	1	0.776670358986	1
chr7|TRIM24:138235925|TRIM24:138203933|rev|+	1	0.700044859275	0	0	1
chr5|HSD17B4:118850741|HSD17B4:118842512|rev|+	0	0.0	1	0.766723932357	1
chr1|EVI5:93070863|EVI5:93073284|rev|-	3	0.951316779493	2	0.909047771647	5
chr1|OMA1:58992932|OMA1:59004982|rev|-	1	0.311519686005	1	0.510644429045	2
chr17|EFCAB13:45507327|EFCAB13:45479497|rev|+	0	0.0	1	0.767988686333	1
chr9|DDX31:135517390|DDX31:135538082|rev|-	0	0.0	1	0.740454574474	1
