junction	orig_count	orig_posterior	swapped_count	swapped_posterior	total_reads
chr14|KIAA0247:70171459|EXD2:69670633|rev|+	0	0.0	1	0.00824664474767	1
chr1|IFI16:159021888|CD1A:158224873|rev|+	1	0.000584421166896	1	0.00271011741888	2
chr19|MRPS12:39423659|MRPS12:39422972|dup|+	6	1.0	6	1.0	12
chr2|PPP1R7:242122439|PPP1R7:242089901|rev|+	0	0.0	1	0.9587621497	1
chr8|TMEM65:125332326|TMEM65:125343033|rev|-	2	0.999992752968	5	0.99999999995	7
chr17|USH1G:72919004|GALK1:73754680|rev|-	1	0.000537821188634	0	0	1
chr17|KRT13:39659538|KRT17:39778006|rev|-	1	0.00987192341256	0	0	1
chr2|LMAN2L:97371666|ANKRD36B:98197031|rev|-	1	0.0003585576931	0	0	1
chr19|TRIM28:59061402|TRIM28:59061103|rev|+	4	0.999999999551	4	0.999999999481	5
chr12|STAT6:57504892|ARHGAP9:57868756|rev|-	0	0.0	1	0.0095792189887	1
chr14|PSEN1:73659572|PSEN1:73614502|rev|+	3	0.99999997195	3	0.999999940317	6
chr3|SLC6A1:11034615|SLC6A11:10979935|rev|+	0	0.0	1	0.00133251810009	1
chrX|ZCCHC13:73524869|JPX:73281870|rev|+	2	1.68953883008e-06	0	0	2
chr4|UGT2A3:69796872|UGT2B10:69874794|rev|-	0	0.0	1	0.00344140502732	1
chr16|WDR24:734991|IFT140:1657298|rev|-	0	0.0	1	0.00190071094746	1
chr1|PRAMEF20:13743098|PRAMEF15:13645763|rev|+	0	0.0	1	0.00838534163913	1
chr1|CR1L:207857302|CR1:207696955|rev|+	1	0.0588730206781	1	0.0452990362281	2
chr4|UGT2A3:69796263|UGT2A1:70455369|rev|-	1	0.000995715882166	0	0	1
chr19|RFX1:14090258|LPHN1:14271109|rev|-	0	0.0	1	0.0022072111537	1
chr15|CILP:65488336|MIR4511:66011670|rev|-	0	0.0	1	0.00473548646174	1
chr18|PIAS2:44400895|HDHD2:44656699|rev|-	0	0.0	1	0.00824664474767	1
chr7|C7orf49:134850531|SLC13A4:135384296|rev|-	0	0.0	1	0.00609776254264	1
chr1|MTOR:11307875|MTOR:11317222|rev|-	6	0.999999999996	3	0.999999998699	9
chr8|PRKDC:48826460|PRKDC:48848460|rev|-	4	0.999999995876	4	0.999999999998	8
chr4|SEPSECS:25156619|SEPSECS:25157817|rev|-	4	0.999999999998	3	0.999999879682	7
chr15|IQCH:67599561|SMAD6:67000929|rev|+	0	0.0	1	0.0014007507358	1
chr11|FADS1:61570272|FADS1:61578547|rev|-	4	0.999999562256	2	0.999991647922	6
chr11|DNHD1:6569270|DNHD1:6559612|rev|+	5	1.0	3	0.999996218213	8
