Chr	Start	End	pos_pairs_Chimeric.out.junction
chr1	24738	24891	1
chr1	871152	871276	5
chr1	871152	874509	5
chr1	871152	877868	2
chr1	877939	879188	7
chr1	891303	891393	1
chr1	957581	970704	3
chr1	981344	989931	8
chr1	981777	987195	7
chr1	986833	987195	6
chr1	1158624	1159348	2
chr1	1158624	1164326	6
chr1	1192372	1192510	2
chr1	1192372	1203372	6
chr1	1192372	1192690	2
chr1	1198726	1203372	3
chr1	1229782	1233313	4
chr1	1451392	1463242	2
chr1	1720492	1722035	4
chr1	1721834	1722035	8
chr1	1721834	1724750	3
chr1	1735858	1737977	3
chr1	1735858	1749314	4
chr1	1735858	1756938	7
chr1	1737914	1756938	5
chr1	1737914	1770677	5
chr1	1737914	1749314	1
chr1	1747195	1749314	3
chr1	1747195	1756938	3
chr1	2100957	2105455	5
chr1	2234724	2236024	9
chr1	2327223	2333781	5
chr1	2339891	2340297	8
chr1	2441301	2452754	11
chr1	2443067	2449703	6
chr1	2447001	2449703	4
chr1	3440688	3440810	6
chr1	3761471	3761915	2
chr1	3786169	3789136	3
chr1	5964677	5965843	9
chr1	5964677	6046387	7
chr1	5987709	5993389	10
chr1	5987709	6046387	8
chr1	6007164	6008311	5
chr1	6007164	6012896	4
chr1	6007164	6022009	8
chr1	6007164	6029319	8
chr1	6007164	6046387	9
chr1	6012760	6046387	6
chr1	6021854	6029319	7
chr1	6021854	6038473	3
chr1	6021854	6046387	5
chr1	6027359	6029319	2
chr1	6038330	6046387	8
chr1	6291962	6292179	3
chr1	6589054	6593501	10
chr1	6659107	6659512	10
chr1	8525985	8568734	5
chr1	8601273	8617582	2
chr1	8601273	8674745	7
chr1	8616534	8617582	4
chr1	8616534	8674745	7
chr1	8616534	8684439	6
chr1	8674620	8684439	4
chr1	8674620	8716500	5
chr1	8684369	8716500	1
chr1	8922946	8925541	5
chr1	8923294	8928116	6
chr1	8923950	8925541	6
chr1	8925344	8934976	9
chr1	8926338	8927309	5
chr1	8928047	8932045	1
chr1	8931950	8934976	6
chr1	9794030	9796100	6
chr1	9795525	9809704	7
chr1	9833330	9833452	5
chr1	9931245	9938047	9
chr1	9991949	9994918	5
chr1	9992861	9992956	5
chr1	10132086	10165802	7
chr1	10155519	10165802	8
chr1	10209242	10211619	2
chr1	10209242	10221344	7
chr1	10412689	10435431	1
chr1	10471475	10473308	7
chr1	11118857	11118949	4
chr1	11133991	11151654	7
chr1	11168238	11193254	6
chr1	11169347	11193254	7
chr1	11181303	11182183	6
chr1	11307876	11317222	6
chr1	11736103	11736197	5
chr1	12009830	12023693	7
chr1	12009830	12033054	4
chr1	12016974	12018000	5
chr1	12016974	12018704	9
chr1	12030727	12033054	6
chr1	12032929	12033054	6
chr1	12042027	12042171	6
chr1	12049222	12052747	6
chr1	12049222	12064670	4
chr1	12049222	12069783	6
chr1	12058827	12059152	2
chr1	12061458	12062160	7
chr1	12061458	12069783	8
chr1	12378129	12382803	7
chr1	12409221	12475274	6
chr1	12638746	12639440	6
chr1	12638746	12640694	6
chr1	15370485	15370655	6
chr1	15382587	15386798	7
chr1	15833394	15833570	6
chr1	15844605	15844890	4
chr1	15890424	15890854	2
chr1	15953164	15978390	5
chr1	15956820	15970145	6
chr1	16044388	16047883	4
chr1	16046229	16047883	3
chr1	16263658	16264501	11
chr1	16464348	16464925	5
chr1	16464770	16464925	5
chr1	17349103	17349225	5
chr1	17350468	17350569	1
chr1	17742976	17749332	5
chr1	17907048	17952543	3
chr1	17907048	18021775	4
chr1	17907048	18014242	6
chr1	17907048	17981217	4
chr1	17907048	17961511	10
chr1	17907048	17953998	6
chr1	17907048	17949670	4
chr1	17907048	17948436	5
chr1	17907048	17934472	7
chr1	17907048	17930086	6
chr1	17907048	17914974	3
chr1	17907048	17914140	3
chr1	17907048	17907127	2
chr1	17934297	17975170	7
chr1	17981131	17983203	6
chr1	19410998	19415471	3
chr1	19420443	19474621	7
chr1	19431542	19439361	7
chr1	19433331	19520051	5
chr1	19433331	19480433	6
chr1	19446674	19480433	8
chr1	19455472	19511780	5
chr1	19467841	19468018	5
chr1	19474487	19493725	8
chr1	19488321	19505714	5
chr1	19488321	19526248	9
chr1	19490747	19511780	4
chr1	19495929	19501527	5
chr1	19497256	19505714	8
chr1	19499358	19501527	8
chr1	19499933	19524543	6
chr1	19510305	19511780	4
chr1	19644094	19644335	4
chr1	20097801	20113610	5
chr1	20979344	20982272	2
chr1	21083659	21106404	7
chr1	21137231	21139732	1
chr1	21180053	21191205	7
chr1	21205816	21212864	5
chr1	21220010	21231464	8
chr1	21220010	21268823	13
chr1	21295967	21307720	9
chr1	21306827	21307720	6
chr1	21415631	21415706	3
chr1	21553652	21554534	6
chr1	21571482	21573856	4
chr1	21573714	21573856	9
chr1	21599192	21599404	6
chr1	21599192	21616649	8
chr1	22016467	22050588	9
chr1	22169263	22181258	4
chr1	22172986	22178083	1
chr1	22188250	22188608	6
chr1	22188250	22205614	7
chr1	22216474	22217187	7
chr1	22404922	22413359	4
chr1	23660011	23667510	5
chr1	23885426	23885510	2
chr1	24021150	24022398	1
chr1	24119641	24120242	2
chr1	24130890	24147083	9
chr1	24495907	24507344	5
chr1	24786971	24790610	5
chr1	25678117	25679465	7
chr1	26131633	26131766	4
chr1	26566253	26570809	5
chr1	26581662	26582356	7
chr1	26581662	26586293	6
chr1	26584088	26584751	4
chr1	26584088	26586293	7
chr1	26772807	26774151	6
chr1	26774050	26774151	4
chr1	26784282	26786635	5
chr1	26786528	26786635	4
chr1	26887217	26888154	8
chr1	27056142	27059283	4
chr1	27087347	27089776	8
chr1	27432376	27434356	5
chr1	27432376	27436268	5
chr1	27621005	27624602	4
chr1	28116073	28120143	8
chr1	28233439	28233793	5
chr1	28362055	28374937	6
chr1	28362055	28384605	4
chr1	28598185	28600669	9
chr1	28599869	28601526	10
chr1	28800066	28800663	12
chr1	28800066	28807116	8
chr1	28944465	28948677	8
chr1	29315868	29323831	6
chr1	29362338	29365938	4
chr1	29481208	29481422	3
chr1	29533274	29542648	4
chr1	29533274	29543197	6
chr1	29581787	29618538	9
chr1	29586382	29586556	6
chr1	29637968	29639218	7
chr1	31205315	31208112	10
chr1	31422980	31426828	1
chr1	31437521	31440157	10
chr1	31447498	31454252	3
chr1	31452909	31454252	2
chr1	31452909	31468067	2
chr1	31454159	31465507	7
chr1	31465237	31468067	7
chr1	31465237	31479949	5
chr1	31532051	31532424	2
chr1	31740718	31764853	9
chr1	31764760	31766195	3
chr1	31896540	31898760	6
chr1	31896540	31899670	7
chr1	32049062	32051086	6
chr1	32050279	32051086	5
chr1	32127261	32145286	4
chr1	32495899	32498935	7
chr1	32502511	32502644	5
chr1	32502511	32504220	7
chr1	32622454	32623962	2
chr1	32622947	32623962	4
chr1	32627548	32628914	3
chr1	32653555	32653725	5
chr1	32653555	32655850	6
chr1	32689635	32690076	7
chr1	32689635	32694809	6
chr1	32691772	32694417	7
