# chrom	start	end	strand	circRNA ID	genomic length	spliced seq length	samples	repeats	annotation	best transcript	gene symbol	circRNA study
chr16	67899004	67902314	+	hsa_circ_0039868	3310	200	Huvec, Helas3, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_005796	NUTF2	Salzman2013
chr11	68552282	68552478	-	hsa_circ_0000335	196	196	cd_19, cd_34, K562, Helas3, Ag04450, Sknshra, Mcf7	None	ANNOTATED, CDS, coding, INTERNAL	NM_001876	CPT1A	Memczak2013, Salzman2013
chr2	15601324	15644337	-	hsa_circ_0052766	43013	1454	Helas3, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015909	NBAS	Salzman2013
chr6	57372287	57499035	+	hsa_circ_0076905	126748	606	Helas3, H1hesc, Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000947	PRIM2	Salzman2013
chr18	59757708	59763183	-	hsa_circ_0047850	5475	206	Hepg2, Helas3, Gm12878, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_176787	PIGN	Salzman2013
chr5	130857082	130883883	-	hsa_circ_0003544	26801	276	Hs68_RNase, Hs68_control, K562, Huvec, Helas3, H1hesc, Gm12878, Ag04450, A549, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001164386	RAPGEF6	Jeck2013, Salzman2013
chr6	136693638	136704919	-	hsa_circ_0077954	11281	374	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001198609	MAP7	Salzman2013
chr2	62100136	62103369	-	hsa_circ_0001018	3233	348	cd_19, cd_34, Hs68_RNase, Hs68_control, K562, Helas3, Ag04450, A549	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006430	CCT4	Jeck2013, Memczak2013, Salzman2013
chr3	133475674	133489416	+	hsa_circ_0067415	13742	996	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001063	TF	Salzman2013
chr9	139756910	139758323	-	hsa_circ_0089597	1413	754	K562, Hepg2, Helas3, H1hesc, Bj, Sknshra	NA	ALT_DONOR, CDS, coding, downstream_end, OVCODE, OVEXON, UTR3	NM_153200	EDF1	Salzman2013
chr22	36684772	36714370	-	hsa_circ_0063106	29598	3662	Huvec, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_002473	MYH9	Salzman2013
chr9	99113384	99122503	-	hsa_circ_0087621	9119	209	K562, Hepg2, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_007001	SLC35D2	Salzman2013
