junction	orig_count	orig_posterior	swapped_count	swapped_posterior	total_reads
chr12|TAOK3:118671478|TAOK3:118704564|rev|-	0	0.0	1	0.926694806474	1
chr16|CARHSP1:8952206|CARHSP1:8953192|rev|-	11	0.999530678017	3	0.210442013581	11
chr3|SMARCC1:47727538|SMARCC1:47742892|rev|-	1	0.931899240666	1	0.948829467597	1
chr2|TLK1:171910270|TLK1:171939362|rev|-	0	0.0	2	0.995059101282	2
chr1|EVI5:93029198|EVI5:93073284|rev|-	5	0.999988158802	3	0.999449328484	7
chr1|RCAN3:24841057|RCAN3:24840803|dup|+	1	0.911713221435	0	0	1
chr5|MTRR:7893026|MTRR:7870882|rev|+	1	0.971647532236	1	0.943548775378	1
chr13|GPC5:92560311|GPC5:92380785|rev|+	0	0.0	1	0.954380906229	1
chr10|LARP4B:875324|LARP4B:931700|rev|-	1	0.931528034369	1	0.911769190754	1
chr13|TMCO3:114193822|TMCO3:114149816|rev|+	0	0.0	1	0.924094660583	1
chr10|HECTD2:93261091|HECTD2:93237957|rev|+	2	0.982478384648	1	0.902974164771	2
chr12|ACTR6:100599522|ACTR6:100598717|rev|+	1	0.900266521152	0	0	1
chr16|SF3B3:70599427|SF3B3:70575571|rev|+	1	0.900266521152	1	0.894439658094	1
chr15|HERC2P2:23333848|HERC2P2:23339028|rev|-	0	0.0	1	0.00801631980195	1
chr12|SLC38A1:46633461|SLC38A1:46637097|rev|-	8	0.999871217667	14	1.0	14
chr8|HGSNAT:43027529|HGSNAT:43013717|rev|+	0	0.0	1	0.929355500135	1
chr1|ASPM:197086918|ASPM:197094321|rev|-	4	0.9999838506	2	0.995973755055	5
chr3|MCCC1:182804480|MCCC1:182812393|rev|-	0	0.0	1	0.903587732412	1
chr10|PIP4K2A:22880557|PIP4K2A:22898646|rev|-	1	0.93602747382	1	0.926694806474	1
chr9|EHMT1:140676849|EHMT1:140669560|rev|+	1	0.795780159443	1	0.955829398564	2
chr8|ARHGEF10:1833873|ARHGEF10:1824736|rev|+	1	0.911714168513	4	0.999986781962	4
chr16|NDE1:15790717|NDE1:15788021|rev|+	1	0.943449124402	0	0	1
chr7|TNPO3:128614921|TNPO3:128641288|rev|-	1	0.853144150162	0	0	1
chrX|MTM1:149832082|MTM1:149807415|rev|+	1	0.936673851327	1	0.920140542274	1
