Chr	Start	End	polyA_pairs_Chimeric.out.junction
chr1	566152	566367	1
chr1	970657	970704	1
chr1	1158673	1164014	1
chr1	12009851	12009940	1
chr1	23707875	23707935	1
chr1	24121332	24121719	1
chr1	27190667	27190780	1
chr1	28856370	28858862	1
chr1	29475079	29475127	1
chr1	35915478	35915603	1
chr1	45468296	45468490	1
chr1	45468376	45468490	1
chr1	65858294	65858516	1
chr1	67885748	67885858	1
chr1	70710484	70715730	1
chr1	109773509	109773568	1
chr1	110564872	110564969	1
chr1	117530047	117530322	2
chr1	117530047	117530363	1
chr1	117944808	117957453	4
chr1	117944808	117963271	1
chr1	117944808	117984947	1
chr1	118003111	118045592	2
chr1	120457817	120458252	1
chr1	150418755	150429994	1
chr1	151006561	151006815	1
chr1	151630711	151665959	1
chr1	153779740	153779881	2
chr1	153779771	153779881	1
chr1	154145570	154145675	1
chr1	154962914	154962998	1
chr1	155059174	155059343	1
chr1	156280349	156280432	1
chr1	156712876	156712915	1
chr1	160181377	160181496	1
chr1	160209993	160210137	1
chr1	174188263	174190302	1
chr1	174979130	174979170	1
chr1	181058387	181058539	1
chr1	182856246	182856426	2
chr1	183522972	183523262	4
chr1	206566118	206566261	1
chr1	225630725	225630925	1
chr1	230338883	230386306	1
chr1	247013796	247013873	1
chr10	3147667	3151663	1
chr10	12163834	12164071	2
chr10	58117624	58117707	1
chr10	79595567	79601671	1
chr10	82187196	82191801	1
chr10	88123698	88162673	1
chr10	88123698	88123853	1
chr10	101492093	101502975	1
chr10	101639794	101639964	1
chr10	105199503	105200607	1
chr11	9005422	9009829	1
chr11	18420988	18422478	1
chr11	61183595	61183820	1
chr11	61183672	61183823	1
chr11	64056636	64056888	1
chr11	64087233	64088192	1
chr11	64533451	64534425	1
chr11	64620697	64620886	1
chr11	65119164	65119352	4
chr11	65266720	65266894	1
chr11	65266744	65266983	1
chr11	65349869	65350165	1
chr11	65425836	65426293	1
chr11	73011472	73011577	2
chr11	73688021	73689401	1
chr11	111706888	111709101	2
chr11	118279748	118279856	4
chr11	119205638	119205847	2
chr11	119205638	119206027	1
chr11	120100236	120100428	2
chr12	6646518	6646881	2
chr12	6857249	6857587	2
chr12	6857358	6857485	1
chr12	6879730	6879922	1
chr12	6879730	6879998	1
chr12	6978323	6978523	1
chr12	6978491	6978523	3
chr12	7032538	7032699	2
chr12	7045287	7045520	1
chr12	7046511	7047751	1
chr12	20709594	20792891	1
chr12	49491259	49491460	1
chr12	50383190	50383250	2
chr12	53663750	53664266	1
chr12	56398829	56399098	1
chr12	56811691	56811756	1
chr12	69652625	69652714	2
chr12	110566755	110570441	2
chr12	111891501	111895128	1
chr12	111990084	111990781	1
chr12	112371690	112381173	1
chr12	120591071	120591658	1
chr12	120591127	120591713	1
chr12	132479448	132479501	1
chr13	92101015	92101176	1
chr13	113796900	113799007	1
chr14	20925476	20925707	1
chr14	21679092	21679270	1
chr14	21897123	21897293	1
chr14	23346167	23346565	1
chr14	23346185	23346673	1
