junction	orig_count	orig_posterior	swapped_count	swapped_posterior	total_reads
chr15|TMEM62:43447029|TMEM62:43438690|rev|+	3	0.992441815374	5	0.995631081313	8
chr16|CARHSP1:8952206|CARHSP1:8953192|rev|-	5	0.000219178615842	6	0.998165701919	8
chr19|MRPS12:39423659|MRPS12:39422972|dup|+	6	0.317219837943	6	4.6420481185e-06	12
chr1|MARK1:220791888|MARK1:220791651|dup|+	0	0.0	1	7.85691519113e-10	1
chr22|TBC1D22A:47393605|TBC1D22A:47370185|rev|+	4	7.38826882192e-06	5	0.000425412927149	8
chr8|TMEM65:125332326|TMEM65:125343033|rev|-	2	0.741983287748	5	0.0415114804714	7
chr1|PGM1:64104471|PGM1:64104355|dup|+	3	0.0229894639441	4	4.04147542135e-07	4
chr14|CDC42BPB:103404440|CDC42BPB:103404748|rev|-	7	0.000795997249626	0	0	7
chr13|TMCO3:114193822|TMCO3:114149816|rev|+	4	0.99765725384	2	0.885293577161	6
chr7|PMS2L2:74981056|PMS2P3:75141745|rev|-	2	0.0217514108296	1	0.00670323810663	3
chr2|MTX2:177193113|MTX2:177161587|rev|+	2	0.108396750979	2	0.991063170132	4
chr19|TRIM28:59061402|TRIM28:59061103|rev|+	4	0.737783767581	4	0.205653530216	5
chr17|PITPNC1:65549733|PITPNC1:65528917|rev|+	1	0.125186839677	1	0.927811173866	1
chr17|TMEM98:31268667|TMEM98:31260191|rev|+	3	0.990076659334	3	0.62164103647	6
chr14|PSEN1:73659572|PSEN1:73614502|rev|+	3	0.12856079322	3	0.266528282916	6
chr17|TBCD:80758872|TBCD:80714040|rev|+	2	0.547663215055	4	0.000398839182522	6
chr12|LRP1:57567763|LRP1:57566950|rev|+	5	0.141406001453	3	0.6931102456	8
chrX|HUWE1:53610517|HUWE1:53618082|rev|-	6	0.460150849393	4	0.971294813299	10
chr3|SLC41A3:125725199|SLC41A3:125725407|dup|-	3	0.966315664872	4	0.00825479919061	4
chr1|RFWD2:175996707|RFWD2:176015460|rev|-	3	0.624442014564	9	0.0143754525685	12
chr15|HERC2P2:23330245|HERC2P2:23339028|rev|-	1	0.00350165943659	0	0	1
chr19|DNMT1:10287967|DNMT1:10292753|rev|-	4	0.980600773863	1	0.141259657373	5
chr11|B3GNT1:66112842|B3GNT1:66115161|rev|-	1	0.418013984715	5	1.66963011022e-05	6
chr8|PLEKHA2:38810222|PLEKHA2:38803641|rev|+	6	0.00405868493674	3	0.706259992948	9
chr14|NEK9:75567694|NEK9:75570700|rev|-	4	0.954124192205	2	0.849861176016	6
chr10|ARID5B:63829556|ARID5B:63810646|rev|+	5	0.000110160536097	5	0.996105859526	10
chr9|AGTPBP1:88211276|AGTPBP1:88248289|rev|-	4	0.854953091067	3	2.39391461004e-06	7
chr8|CPNE3:87563328|CPNE3:87560528|rev|+	3	0.987115258656	2	0.00116454702512	5
chr1|MTOR:11307875|MTOR:11317222|rev|-	6	8.99392843729e-05	3	0.999202570455	9
chr1|KANK4:62713143|KANK4:62734177|rev|-	2	0.866992372889	4	0.0026419091089	6
chr5|TRIO:14481727|TRIO:14419886|rev|+	4	0.776060559979	2	0.974627047966	6
chr5|PTTG1:159855746|TTC1:159470139|rev|+	1	1.61891578079e-07	0	0	1
chr7|SERPINE1:100780365|SERPINE1:100778774|rev|+	4	0.0187192116621	5	0.00865907486205	7
chr11|FADS1:61570272|FADS1:61578547|rev|-	4	5.45945602293e-05	2	0.180296016742	6
chr17|SLC25A39:42396992|SLC25A39:42400945|rev|-	6	0.00522238472734	4	2.44346885796e-07	10
chr11|DNHD1:6569270|DNHD1:6559612|rev|+	5	0.996629276971	3	1.42502681193e-06	8
chr7|BCL7B:72954211|BCL7B:72957974|rev|-	3	0.940938824891	3	0.952513756901	4
chr5|MAP3K1:56168549|MAP3K1:56160560|rev|+	6	0.785625647917	6	6.96385643024e-06	12
chr17|PGS1:76395618|PGS1:76388556|rev|+	4	0.989045496766	2	0.0260483214066	6
chr9|TUBB4B:140138159|TUBB4B:140136172|rev|+	2	0.00309387898217	3	0.0219715582554	5
chr6|RREB1:7187756|RREB1:7176887|rev|+	2	0.984237855188	6	5.8378367197e-05	8
chr1|UBR4:19495928|UBR4:19501527|rev|-	3	0.00184753773378	5	1.59792963979e-10	8
chr16|CES2:66973261|CES2:66971939|rev|+	3	0.302451530873	5	0.000129937077247	8
chr5|TBC1D9B:179296768|TBC1D9B:179331812|rev|-	3	0.694643321892	3	0.0536522436308	6
chr11|EEF1G:62327753|EEF1G:62339373|rev|-	1	0.889592637009	1	0.251027163741	2
chr1|NPHP4:6007163|NPHP4:6012896|rev|-	2	0.841438894301	3	0.601393632287	5
