junction	numReads	p_predicted	p_value
chr10|A1CF:52559168|A1CF:52573822|rev|-	6	1.67305666091954e-05	0.111696564768842
chr10|ABCC2:101552116|ABCC2:101551990|dup|+	5	0.0660297670259809	0.0192769915799069
chr10|ABCC2:101554225|ABCC2:101553307|rev|+	2	0.146847264519734	0.119394080870744
chr10|ABCC2:101569975|ABCC2:101553648|rev|+	9	2.33107257295486e-06	0.0911998632293816
chr10|ABCC2:101572901|ABCC2:101542462|rev|+	5	0.000170208631058324	0.122357425343361
chr10|ABCC2:101572901|ABCC2:101553307|rev|+	5	0.00170505921129026	0.121956275437052
chr10|ABCC2:101572901|ABCC2:101553648|rev|+	8	0.00653777288907444	0.0198631420282393
chr10|ABCC2:101572901|ABCC2:101554169|rev|+	2	0.434444651487216	0.0223433686411346
chr10|ABCC2:101572901|ABCC2:101556853|rev|+	2	0.0515055205791558	0.179282347186532
chr10|ABCC2:101572901|ABCC2:101558963|rev|+	3	0.00473649436980608	0.15783618568197
chr10|ABCC2:101572901|ABCC2:101563775|rev|+	1	0.0651770088870574	0.266307853060427
chr10|ABCC2:101572901|ABCC2:101567839|rev|+	3	0.987384175876162	4.46991456381471e-12
chr10|ABCC2:101572901|ABCC2:101569890|rev|+	6	0.0010071463901101	0.111031617344063
chr10|ABCC2:101590608|ABCC2:101558963|rev|+	4	8.84229030413401e-06	0.136799794855264
chr10|ABCC2:101591587|ABCC2:101591367|dup|+	1	0.940567687776457	6.54783571538629e-05
chr10|ABCC2:101594292|ABCC2:101553648|rev|+	3	0.962020390267566	4.59414190257571e-09
chr10|ABCC2:101596047|ABCC2:101560142|rev|+	3	0.98778196527365	3.59497848602957e-12
chr10|ABCC2:101596047|ABCC2:101571292|rev|+	4	0.906395673540941	1.41127808565373e-08
chr10|ABCC2:101596047|ABCC2:101577064|rev|+	3	0.987660888127696	3.84465088001538e-12
chr10|ABCC2:101606884|ABCC2:101567140|rev|+	4	0.236167186739878	0.00548792269697775
chr10|ABCC2:101606884|ABCC2:101567839|rev|+	1	0.881411124441847	0.000849098623524247
chr10|ABCC2:101606884|ABCC2:101578845|rev|+	4	0.00671021345089129	0.134196739049366
chr10|ABCC2:101606884|ABCC2:101601723|rev|+	6	6.20579604056831e-06	0.111696564770936
chr10|ABCC2:101611662|ABCC2:101578845|rev|+	5	0.999014013013604	2.38570612032907e-27
chr10|ABLIM1:116190868|ABLIM1:116201545|rev|-	4	0.199079194278259	0.00860116194517232
chr10|ABLIM1:116190868|ABLIM1:116207779|rev|-	4	2.88261976825358e-05	0.13679979485526
chr10|ABLIM1:116190868|ABLIM1:116225586|rev|-	2	0.991463807112357	4.91941413045242e-11
chr10|ABLIM1:116190868|ABLIM1:116227975|rev|-	5	0.890772965418605	5.37670068409529e-10
chr10|ABLIM1:116190868|ABLIM1:116245139|rev|-	6	0.0640367697516775	0.00495056575189662
chr10|ABLIM1:116190868|ABLIM1:116331165|rev|-	8	0.00919889347198096	0.011765857601004
chr10|ABLIM1:116190868|ABLIM1:116335358|rev|-	4	0.000526576005601588	0.136799539177309
chr10|ABLIM1:116225456|ABLIM1:116251637|rev|-	4	0.955560893813356	1.42367306840487e-10
chr10|ABLIM1:116247716|ABLIM1:116251637|rev|-	5	1.73294322933498e-05	0.122357456241742
chr10|ACSL5:114186117|ACSL5:114181350|rev|+	4	0.0121542114311355	0.127203856843648
chr10|ACTR1A:104238985|ACTR1A:104241655|rev|-	4	0.000233335378020047	0.136799791203817
chr10|ACTR1A:104238985|ACTR1A:104244133|rev|-	4	0.999037276379709	3.92189432150243e-24
chr10|ACTR1A:104238985|ACTR1A:104248032|rev|-	5	1.38894620176557e-09	0.122357456241758
chr10|ACTR1A:104238985|ACTR1A:104248895|rev|-	4	1.21734338124851e-05	0.136799794855264
chr10|ACTR1A:104238985|ACTR1A:104262512|rev|-	4	0.1975188047955	0.00876831565309176
chr10|ACTR1A:104243916|ACTR1A:104244133|dup|-	3	0.991500553600653	2.85299858135514e-13
chr10|ACTR1A:104247906|ACTR1A:104248032|dup|-	6	0.999514811766535	1.65105019266945e-34
chr10|ACTR1A:104247906|ACTR1A:104248895|rev|-	3	0.509070154241138	0.00204069233842371
chr10|ADD3:111882050|RNU6-53:110930439|rev|+	1	0.000266273109900918	0.273599589710519
chr10|ADK:76158337|ADK:76153898|rev|+	2	0.924226111463724	7.1662404355573e-06
chr10|AGAP5:75451800|AGAP5:75456921|rev|-	1	0.0456231678645182	0.270741008500025
chr10|AGAP6:51767836|AGAP6:51761755|rev|+	2	7.52498469346301e-08	0.193464125214171
chr10|AIFM2:71874675|AIFM2:71880967|rev|-	3	0.00245788082356223	0.157951981281187
chr10|AKR1C1:5020158|AKR1C1:5011013|rev|+	2	0.287101534131883	0.0561917235108509
chr10|AKR1C3:5149878|AKR1C3:5138601|rev|+	5	0.99990199222423	3.37558384390448e-39
chr10|AKR1C3:5149878|AKR1C3:5147786|rev|+	4	0.00081879350642896	0.136797833251987
chr10|ALDH18A1:97369953|ALDH18A1:97371199|rev|-	7	0.00721385315956549	0.0438737273527856
chr10|ANKRD16:5922260|ANKRD16:5925130|rev|-	5	0.994528960251482	5.04077470039574e-20
chr10|ANXA7:75156276|ANXA7:75160615|rev|-	3	0.000259843054476149	0.157962796663899
chr10|ARHGAP12:32101634|ARHGAP12:32199491|rev|-	1	0.00384791267999067	0.273599398745595
chr10|ARHGAP12:32197099|ARHGAP12:32199491|rev|-	2	0.00335096478568361	0.19346190035161
chr10|ARID5B:63700167|ARID5B:63699941|dup|+	6	0.00247917660747378	0.105730560508154
chr10|ARID5B:63760080|ARID5B:63699941|rev|+	4	0.26772182062027	0.00377884908937039
chr10|ARID5B:63760080|ARID5B:63759849|dup|+	5	0.675557680663185	7.01925395050487e-07
chr10|ARID5B:63829556|ARID5B:63810646|rev|+	5	0.000110160536097262	0.122357453321108
chr10|ARL5B:18957606|ARL5B:18948312|rev|+	3	3.86486902600596e-05	0.157962796769544
chr10|ASAH2:51952412|ASAH2:51956679|rev|-	3	0.193571901892141	0.0350706970830557
chr10|ASCC1:73862607|ASCC1:73892939|rev|-	3	0.00816949854177226	0.157240934245449
chr10|ASCC1:73956568|ASCC1:73963282|rev|-	7	7.43751624195637e-06	0.103410924739353
chr10|ASCC1:73956568|ASCC1:73970589|rev|-	6	0.998221078021217	4.85055347987399e-28
chr10|ASCC1:73956568|ASCC1:73975867|rev|-	3	0.903479405073889	7.48224867600682e-07
chr10|ATAD1:89527429|ATAD1:89530798|rev|-	2	0.833954082263783	0.000203291494145455
chr10|ATAD1:89527429|ATAD1:89536184|rev|-	5	9.60712336013858e-09	0.122357456241758
chr10|ATAD1:89530708|ATAD1:89536184|rev|-	2	0.30024137610063	0.0520684323891697
chr10|ATAD1:89544226|ATAD1:89574369|rev|-	3	0.891638256843377	1.34932622708862e-06
chr10|ATE1:123549683|ATE1:123629553|rev|-	2	0.0103294734773712	0.193277432524465
chr10|ATE1:123549683|ATE1:123683844|rev|-	2	0.118377417857914	0.136890331142623
chr10|ATE1:123596232|ATE1:123659509|rev|-	1	0.000356334765047435	0.27359958971045
chr10|ATE1:123600596|ATE1:123683844|rev|-	4	0.928629222925665	2.7653584352167e-09
chr10|ATE1:123629520|ATE1:123683844|rev|-	1	0.247726240315535	0.177298957693785
chr10|ATE1:123658355|ATE1:123662135|rev|-	3	0.915689827748497	3.71598885461516e-07
chr10|ATE1:123658355|ATE1:123670666|rev|-	4	0.0885533807616756	0.0378962521490414
chr10|ATE1:123658355|ATE1:123673408|rev|-	2	0.989127520096161	2.2647994434901e-10
chr10|ATE1:123658355|ATE1:123683844|rev|-	5	3.54842981142353e-05	0.122357456239112
chr10|ATE1:123681863|ATE1:123683844|rev|-	2	0.170763593773786	0.105868345443725
chr10|ATP5C1:7844817|ATP5C1:7830092|rev|+	5	0.0188927853991104	0.0754178972480516
chr10|ATP5C1:7844817|ATP5C1:7838083|rev|+	3	0.00023138161024109	0.157962796718547
chr10|ATP5C1:7844817|ATP5C1:7839009|rev|+	5	0.978412553872287	4.99077765152077e-15
chr10|ATP5C1:7844817|ATP5C1:7844232|rev|+	3	0.0275118764805086	0.14455260058497
chr10|ATP5C1:7844817|ATP5C1:7844720|dup|+	6	8.46174066123061e-07	0.111696564770937
chr10|AVPI1:99439375|AVPI1:99447015|rev|-	5	0.552849964053029	6.76506572454647e-06
chr10|BICC1:60558320|BICC1:60556099|rev|+	6	0.0469777633579452	0.00944996081492387
chr10|BMPR1A:88659647|BMPR1A:88659550|dup|+	5	8.36701808398388e-05	0.122357455643826
chr10|BMPR1A:88659883|BMPR1A:88516395|rev|+	3	0.0330290649815982	0.13930373968043
chr10|BMPR1A:88659883|BMPR1A:88651883|rev|+	2	0.991268495268842	5.68762865113959e-11
chr10|BMPR1A:88659883|BMPR1A:88659550|rev|+	3	0.965083392013465	2.80829711309234e-09
chr10|BMPR1A:88659883|BMPR1A:88659783|dup|+	2	0.899088249607936	2.54949966150236e-05
chr10|BMS1:43292971|BMS1:43282615|rev|+	5	0.629565195874347	1.75012104525822e-06
chr10|BMS1:43319232|BMS1:43312046|rev|+	1	0.802933217353434	0.00447594580880406
chr10|BMS1P4:75477772|BMS1P4:75485798|rev|-	3	0.569351889910057	0.0010624783325991
chr10|BTAF1:93757508|BTAF1:93702178|rev|+	3	0.722793767018653	0.000128635364125013
chr10|BTAF1:93771172|BTAF1:93754291|rev|+	5	0.121791686228407	0.00570656064168488
chr10|C10orf137:127442414|C10orf137:127431626|rev|+	5	0.0113708793089452	0.0968352202741361
chr10|C10orf68:32873232|CCDC7:32856597|rev|+	1	0.491280788100744	0.0665514237700271
chr10|C10orf76:103609532|C10orf76:103699695|rev|-	4	0.000638127760626377	0.136799159764728
chr10|C10orf76:103649168|C10orf76:103699695|rev|-	6	0.0846268688880688	0.0025192525021739
chr10|C10orf76:103716353|C10orf76:103717489|rev|-	2	0.822707362616375	0.000264284920145937
chr10|C10orf76:103734968|C10orf76:103750368|rev|-	3	0.0257390361613918	0.146155338594098
chr10|C10orf76:103750307|C10orf76:103789502|rev|-	5	0.999831942230049	3.17248308342407e-36
chr10|C10orf76:103766296|C10orf76:103769780|rev|-	3	0.933812096862423	1.02995292741671e-07
chr10|C10orf76:103766296|C10orf76:103799882|rev|-	5	0.00439912083609041	0.117643072394774
chr10|C10orf76:103769130|C10orf76:103773781|rev|-	3	0.997358271299559	3.5032931872591e-17
chr10|C10orf76:103769130|C10orf76:103789502|rev|-	4	0.000240258241960836	0.136799790554252
chr10|C10orf76:103783233|C10orf76:103789502|rev|-	4	6.14805218029377e-05	0.136799794854405
chr10|CACUL1:120454652|CACUL1:120489922|rev|-	2	6.54527743408868e-05	0.193464125214171
chr10|CACUL1:120488806|CACUL1:120489922|rev|-	4	0.0457888600650076	0.0745916963121126
chr10|CAMK1D:12833232|CAMK1D:12802946|rev|+	5	0.000158275863026917	0.12235743513936
chr10|CAMK2G:75601926|CAMK2G:75632841|rev|-	3	0.00343087344855145	0.157923067791023
chr10|CCAR1:70500418|CCAR1:70497601|rev|+	1	0.0536484644640829	0.269166549338023
chr10|CCAR1:70502326|CCAR1:70497601|rev|+	3	3.53428054205359e-11	0.157962796769544
chr10|CCAR1:70502326|CCAR1:70500385|rev|+	1	0.933057858121997	0.000104550458272621
