Chr	Start	End	Hela_RNaseR-minus_pairs_Chimeric.out.junction
chr1	891303	891595	1
chr1	957581	957842	1
chr1	1191425	1198766	1
chr1	1191425	1203372	4
chr1	1192372	1192690	1
chr1	1192372	1203372	2
chr1	1322615	1326245	4
chr1	1322615	1334051	1
chr1	1693330	1696885	1
chr1	1693391	1696885	2
chr1	1735858	1749314	2
chr1	1735858	1770677	2
chr1	1747195	1756938	4
chr1	1747195	1770677	8
chr1	1986880	1991030	1
chr1	2140772	2141658	1
chr1	2234417	2236024	2
chr1	2234417	2238395	9
chr1	2327223	2332374	1
chr1	2327223	2334520	1
chr1	3418360	3427466	1
chr1	3425122	3425809	1
chr1	5987709	5993389	1
chr1	5987709	6012896	1
chr1	5987709	6022009	2
chr1	6007164	6012896	3
chr1	6007164	6046387	1
chr1	6021854	6046387	2
chr1	6021854	6029319	1
chr1	6246709	6257816	2
chr1	6252990	6257816	4
chr1	6592028	6592820	1
chr1	6659107	6659512	1
chr1	6679863	6680397	1
chr1	6727769	6741097	1
chr1	7837220	7838229	13
chr1	7858585	7863908	1
chr1	7895822	7897209	1
chr1	8421823	8482867	1
chr1	8601273	8617582	3
chr1	8601273	8674745	7
chr1	8616534	8674745	2
chr1	8674620	8716500	1
chr1	8926354	8926431	1
chr1	8926370	8926443	1
chr1	8927356	8927471	1
chr1	9627342	9633470	1
chr1	9809822	9833452	1
chr1	9991949	9994918	1
chr1	9991949	9995685	2
chr1	9995550	9996685	1
chr1	10032076	10041228	3
chr1	10155519	10165802	7
chr1	10155519	10179671	1
chr1	10155519	10195244	2
chr1	10177425	10205097	1
chr1	10190558	10190871	1
chr1	10204998	10221344	1
chr1	10209242	10211619	1
chr1	10331560	10338186	1
chr1	10351140	10357304	3
chr1	10380101	10384953	1
chr1	11151550	11155938	1
chr1	11169347	11175525	1
chr1	11181303	11182183	1
chr1	11187750	11188183	1
chr1	11293455	11308151	2
chr1	12034891	12035047	1
chr1	12061458	12062160	2
chr1	12317992	12383837	1
chr1	12335882	12338095	2
chr1	12359259	12368698	2
chr1	12389886	12393423	1
chr1	12638746	12640694	1
chr1	14099573	14109326	4
chr1	15860732	15863309	3
chr1	15953164	15970145	1
chr1	15964802	15970145	2
chr1	15964802	15978390	2
chr1	16042732	16046415	1
chr1	16199311	16203173	1
chr1	16253544	16253614	1
chr1	16263982	16264520	1
chr1	16464348	16464925	4
chr1	16528277	16529069	2
chr1	16632298	16641930	1
chr1	16778333	16782388	1
chr1	17907048	17914974	2
chr1	19488321	19501527	1
chr1	19510305	19514034	1
chr1	19513034	19514034	2
chr1	19523635	19528309	1
chr1	19569860	19570509	2
chr1	20097035	20113610	1
chr1	20216878	20234369	2
chr1	20220861	20234153	1
chr1	20237679	20239099	1
chr1	21009146	21012619	1
chr1	21071237	21100103	6
chr1	21071237	21106872	1
chr1	21071237	21107033	7
chr1	21076216	21100103	5
chr1	21083659	21107033	1
chr1	21083659	21106404	2
chr1	21083659	21100103	6
chr1	21097423	21100103	3
chr1	21097423	21107033	1
chr1	21151593	21167521	1
chr1	21177751	21191755	1
chr1	21205816	21231464	1
chr1	21212694	21212864	1
chr1	21220010	21231464	1
chr1	21231376	21268823	2
chr1	21295967	21306941	1
chr1	21295967	21307720	8
chr1	21306827	21307720	1
chr1	21324094	21329301	1
chr1	21327692	21329301	4
chr1	21391023	21393350	1
chr1	21548240	21554534	1
chr1	21599192	21616649	2
chr1	21880471	21896867	2
chr1	21880471	21902417	1
chr1	21880471	21890709	2
chr1	21943799	21946543	1
chr1	22007301	22021714	5
chr1	22027991	22032330	1
chr1	22027991	22048257	1
chr1	22030755	22048257	1
chr1	22030755	22056325	1
chr1	22041882	22050588	4
chr1	22041882	22056325	1
chr1	22041882	22048257	4
chr1	22041882	22047659	2
chr1	22047529	22056325	1
chr1	22074631	22078108	1
chr1	22404922	22413359	16
chr1	22404922	22417994	2
chr1	22816373	22818026	2
chr1	23107914	23111569	1
chr1	23640046	23645181	2
chr1	23644976	23660124	1
chr1	23648021	23667489	1
chr1	23660011	23667510	1
chr1	23660011	23667513	1
chr1	23722492	23724448	3
chr1	24028912	24029278	1
chr1	24140680	24147083	2
chr1	24766662	24771734	1
chr1	24840804	24841057	1
chr1	25678117	25683344	1
chr1	26566253	26586293	1
chr1	26581662	26582356	2
chr1	26581662	26586293	1
chr1	26584088	26586293	6
chr1	26772807	26774151	1
chr1	27056142	27059283	2
chr1	27269151	27269556	11
chr1	27736384	27736479	1
chr1	27739066	27755443	1
chr1	27739066	27745589	1
chr1	27884816	27885394	1
chr1	28116073	28120143	1
chr1	28337458	28343750	1
chr1	28362055	28369161	5
chr1	28362055	28374937	2
chr1	28362055	28384605	1
chr1	28733921	28735550	1
chr1	28785596	28793046	2
chr1	28785596	28807116	2
chr1	28930040	28948677	1
chr1	28931884	28948526	1
chr1	28939759	28948677	3
chr1	29068915	29070498	1
chr1	29313943	29314417	2
chr1	29313943	29344954	1
chr1	29319842	29323831	2
chr1	29319842	29379824	1
chr1	29359605	29424447	1
chr1	29362338	29365938	1
chr1	29481208	29481422	18
chr1	29522453	29543197	1
chr1	31447498	31454252	1
chr1	31465237	31468067	42
chr1	31465237	31479946	1
chr1	31465237	31479949	1
chr1	31478700	31479949	3
chr1	31528160	31532424	2
chr1	32495899	32498935	2
chr1	32495899	32510991	1
chr1	32495899	32497241	1
chr1	32502511	32504220	1
chr1	32502511	32505174	1
chr1	32502511	32510991	1
chr1	32620189	32623962	3
chr1	32657912	32658901	1
chr1	32689635	32690076	2
chr1	32792540	32793278	1
chr1	33085161	33100393	1
chr1	33133826	33138502	1
chr1	33272083	33276658	1
chr1	33276192	33276658	3
chr1	33407853	33415375	1
chr1	33409620	33411229	1
chr1	33409620	33415375	2
chr1	33413823	33415375	9
chr1	33760538	33760906	4
chr1	35457835	35470873	1
chr1	35569896	35578782	2
chr1	35652682	35653667	1
chr1	35656295	35657130	1
chr1	35835630	35847359	1
chr1	35846860	35854683	11
chr1	35846860	35855699	10
chr1	35846862	35854683	1
chr1	35851043	35855699	1
chr1	35862153	35871069	1
chr1	35870624	35873760	1
chr1	35936464	35944813	2
chr1	36024678	36029510	1
chr1	36024708	36029510	1
chr1	36297028	36301594	3
chr1	36411293	36439112	1
chr1	36505391	36506042	1
chr1	36636572	36639079	3
chr1	36750114	36750525	1
chr1	38039944	38042157	2
chr1	38047824	38049534	1
chr1	38047824	38053096	1
chr1	38052912	38054683	2
chr1	38300751	38305830	1
chr1	38332131	38339760	1
chr1	39747880	39758515	1
chr1	39775242	39785419	1
chr1	39789865	39854330	1
chr1	39815150	39854330	1
chr1	40306807	40323089	1
chr1	40319642	40323089	1
chr1	40538395	40539668	1
chr1	40538941	40539709	1
chr1	40539628	40539716	1
chr1	40654727	40668286	2
chr1	40656444	40668286	1
chr1	40733458	40737707	4
chr1	40733477	40737707	1
chr1	41204508	41218918	1
chr1	41463066	41466789	1
chr1	41474466	41475926	1
chr1	41536267	41541123	12
chr1	41578955	41582682	3
chr1	41578955	41608784	4
chr1	41578955	41627104	4
chr1	41608546	41627104	1
chr1	41608550	41618413	1
chr1	42335218	42384195	1
chr1	42693554	42776781	2
chr1	42730786	42731583	1
chr1	42730786	42744343	4
chr1	42730786	42744455	5
chr1	43231278	43231321	1
chr1	43239234	43241150	2
chr1	43830409	43831047	1
chr1	43880753	43882312	1
chr1	43896936	43898861	1
chr1	44386076	44387310	1
chr1	44386076	44386600	2
chr1	44467985	44468657	2
chr1	44474025	44474295	1
chr1	44595025	44596428	1
chr1	44713611	44785416	1
chr1	44773982	44785416	4
chr1	44804717	44804994	1
chr1	44877408	44878394	2
chr1	44877653	44878394	7
chr1	45215981	45221909	1
chr1	45223228	45223812	8
chr1	45340350	45345680	1
chr1	45501360	45525919	1
chr1	45553553	45553909	1
chr1	45887397	45940820	1
chr1	45923236	45923543	2
chr1	45980179	45980667	1
chr1	46032241	46032692	8
chr1	46067927	46070688	3
chr1	46070618	46070688	1
chr1	46079768	46082065	1
chr1	46080685	46082065	1
chr1	46096154	46106075	1
chr1	46105882	46108171	1
chr1	46120215	46126049	1
chr1	46290105	46295253	1
chr1	46495801	46495910	1
chr1	46521467	46546422	5
chr1	46543187	46546422	1
chr1	46782395	46782431	2
chr1	47046202	47049001	1
chr1	47725961	47735538	1
chr1	47745913	47748131	6
chr1	47753223	47770668	2
chr1	47761437	47765824	1
chr1	47761437	47767420	3
chr1	47761437	47770668	2
chr1	47767233	47776034	2
chr1	47767906	47780235	1
chr1	47770561	47776034	1
chr1	47779519	47780235	1
chr1	47834141	47840965	4
chr1	47834141	47844236	1
chr1	47840616	47840657	1
chr1	48477202	48477477	1
