Chr	Start	End	Hela_RNaseR-plus_pairs_Chimeric.out.junction
chr1	891303	892405	1
chr1	891303	892653	1
chr1	897009	899910	1
chr1	943574	944750	1
chr1	978619	986217	1
chr1	980904	981092	1
chr1	1191425	1198766	2
chr1	1191425	1208385	1
chr1	1192372	1192690	4
chr1	1192372	1203372	7
chr1	1197550	1198766	1
chr1	1198726	1203372	3
chr1	1273357	1277185	2
chr1	1273902	1275883	1
chr1	1322615	1326245	18
chr1	1322615	1334051	1
chr1	1499985	1500296	2
chr1	1693330	1696885	1
chr1	1693391	1696885	1
chr1	1720492	1724750	1
chr1	1724684	1756921	1
chr1	1724684	1770677	1
chr1	1735858	1770677	2
chr1	1735858	1756938	3
chr1	1735858	1737977	3
chr1	1735858	1749314	2
chr1	1737914	1770677	2
chr1	1747195	1756938	6
chr1	1747195	1770677	9
chr1	2103494	2105455	1
chr1	2140772	2141658	2
chr1	2234417	2236024	6
chr1	2234417	2238395	1
chr1	2327223	2328659	1
chr1	2327223	2332374	2
chr1	2327223	2335028	2
chr1	3379630	3380236	1
chr1	3383746	3383882	1
chr1	3417197	3418485	1
chr1	3421772	3426556	1
chr1	3425122	3425809	1
chr1	3761471	3764177	1
chr1	3784538	3800364	1
chr1	5947346	5951088	1
chr1	5964677	6008311	1
chr1	5964677	6014007	1
chr1	5964677	6046387	1
chr1	5964705	6046292	1
chr1	5987709	6022009	1
chr1	5987709	6046387	1
chr1	5987709	6046292	3
chr1	5987709	6038473	1
chr1	5987709	6012896	3
chr1	5987709	5993389	2
chr1	5993207	6046387	1
chr1	6007164	6008311	1
chr1	6007164	6022009	5
chr1	6007164	6046387	4
chr1	6012760	6046387	3
chr1	6021854	6046292	2
chr1	6021854	6046387	6
chr1	6038330	6046387	1
chr1	6159337	6161060	1
chr1	6246404	6246499	1
chr1	6246460	6246510	1
chr1	6252990	6257816	6
chr1	6291962	6292179	1
chr1	6291962	6293703	8
chr1	6341162	6355040	3
chr1	6341162	6378638	1
