Chr	Start	End	SRR444975_pairs_Chimeric.out.junction
chr1	984739	984793	1
chr1	1158624	1159348	1
chr1	1192372	1192690	1
chr1	1322615	1326245	1
chr1	1601103	1601590	1
chr1	1716818	1717078	1
chr1	1718761	1756921	2
chr1	1735858	1737977	3
chr1	1735858	1749314	4
chr1	1735858	1770677	1
chr1	1747195	1756938	7
chr1	1747195	1770677	1
chr1	1756836	1756938	1
chr1	2234417	2234839	1
chr1	2234417	2236024	1
chr1	2441496	2452754	1
chr1	3545582	3545726	1
chr1	3753138	3753192	1
chr1	5933312	5940299	1
chr1	5937153	5947526	1
chr1	6021854	6046387	1
chr1	6291962	6293703	1
chr1	6609631	6610675	1
chr1	6659107	6659512	1
chr1	6679863	6680397	1
chr1	7837220	7838229	28
chr1	8072612	8072715	1
chr1	8456418	8482867	1
chr1	8684369	8716500	1
chr1	8716032	8716500	3
chr1	8922946	8924151	1
chr1	8926370	8926445	2
chr1	8926370	8926443	1
chr1	9751525	9787679	1
chr1	9786967	9787830	1
chr1	9800716	9801314	1
chr1	9991949	9994918	4
chr1	9991949	9995685	2
chr1	9994820	9996685	1
chr1	10177517	10190871	1
chr1	10177517	10195244	1
chr1	10186852	10197263	1
chr1	10195046	10197263	1
chr1	10318551	10342591	1
chr1	10321963	10328321	3
chr1	10321963	10332364	1
chr1	10327438	10328321	2
chr1	10380101	10436734	1
chr1	10420987	10425706	1
chr1	11133991	11134383	1
chr1	11133991	11137005	2
chr1	11137387	11137708	4
chr1	11142936	11147504	1
chr1	11167462	11184654	1
chr1	11264618	11269515	1
chr1	11982891	11982954	1
chr1	12034891	12035047	1
chr1	12035496	12035581	1
chr1	12042027	12042647	3
chr1	12056213	12057478	1
chr1	12057366	12057424	1
chr1	12061458	12062160	2
chr1	12064129	12064658	1
chr1	12294248	12313883	2
chr1	12335882	12338095	2
chr1	12359259	12359441	1
chr1	12382593	12389975	1
chr1	12460238	12476880	2
chr1	14057495	14068652	3
chr1	14057495	14075982	1
chr1	14095613	14099683	1
chr1	14099573	14109326	4
chr1	14104913	14109326	4
chr1	15855583	15863309	1
chr1	15862970	15863309	3
chr1	15964802	15978390	1
chr1	16044388	16047883	4
chr1	16046229	16047883	1
chr1	16093871	16095125	1
chr1	16464348	16464925	1
chr1	16475395	16475500	1
chr1	16528277	16529069	2
chr1	16892903	16893846	1
chr1	17907048	17914974	1
chr1	17913955	17914974	1
chr1	17928622	17934472	1
chr1	17975049	17983203	1
chr1	19449327	19505714	1
chr1	19495929	19501527	2
chr1	19495929	19519034	1
chr1	19503086	19514034	2
chr1	19510305	19511780	1
chr1	19525035	19525128	2
chr1	19683129	19746244	2
chr1	20063865	20073753	1
chr1	20063865	20082259	1
chr1	20082127	20113610	1
chr1	20216878	20234153	1
chr1	21071237	21107033	1
chr1	21071237	21102498	1
chr1	21071237	21076375	1
chr1	21074037	21076375	1
chr1	21076216	21100103	3
chr1	21083659	21107033	2
chr1	21083659	21106404	2
chr1	21083659	21103243	1
chr1	21083659	21100103	10
chr1	21083659	21097566	1
chr1	21091870	21100103	1
chr1	21094077	21103243	1
chr1	21097423	21100103	5
chr1	21097423	21106404	1
chr1	21103090	21103167	3
chr1	21103209	21106401	1
chr1	21220010	21231464	3
chr1	21220010	21268823	1
chr1	21295967	21307720	5
chr1	21327692	21329301	3
chr1	21377359	21386287	1
chr1	21551763	21551916	3
chr1	21573714	21585332	1
chr1	21599192	21599404	3
chr1	21599192	21605825	1
chr1	21599192	21616649	6
chr1	21636140	21647453	1
chr1	22007301	22021714	1
chr1	22027991	22033361	1
chr1	22041882	22048257	2
chr1	22074631	22078108	1
chr1	22160833	22160880	1
chr1	22404056	22417996	1
chr1	22404922	22413359	1
chr1	22816373	22818026	5
chr1	23107914	23111569	1
chr1	23637402	23637482	1
chr1	23842827	23845600	1
chr1	23885675	23885719	1
chr1	24020313	24020395	1
chr1	24022304	24022869	2
chr1	24112165	24112913	1
chr1	24130890	24147083	1
chr1	24140680	24147083	3
chr1	24840804	24841057	5
chr1	24857708	24859744	1
chr1	24861583	24863221	1
chr1	25124258	25140651	1
chr1	25140585	25140710	2
chr1	25169622	25169746	2
chr1	25573028	25573083	1
chr1	25775299	25785383	1
chr1	25880413	25891698	1
chr1	26310437	26314818	1
chr1	26570657	26584751	2
chr1	26581662	26582356	3
chr1	26581662	26586293	1
chr1	26584088	26586293	5
chr1	26607646	26607689	1
chr1	26772807	26774151	6
chr1	26795428	26795485	1
chr1	26799010	26800626	1
chr1	27056142	27059283	10
chr1	27087347	27089776	3
chr1	27180543	27180812	2
chr1	27269151	27269556	2
chr1	27432376	27436268	1
chr1	27994737	27995857	1
chr1	28059114	28060694	1
chr1	28116073	28120143	2
chr1	28116073	28128326	1
chr1	28233439	28233793	1
chr1	28362055	28374937	1
chr1	28362055	28384605	1
chr1	28530258	28531792	1
chr1	28785596	28793046	6
chr1	28800066	28800663	2
chr1	28815682	28819603	1
chr1	28897688	28898412	1
chr1	29068915	29070498	5
chr1	29313943	29323831	1
chr1	29362338	29435949	2
chr1	29481208	29481422	9
chr1	29481208	29487029	1
chr1	29526922	29543197	1
chr1	29567050	29567110	1
chr1	29585017	29587415	1
chr1	31452909	31468067	1
chr1	31465237	31468067	14
chr1	31465237	31479949	2
chr1	31478700	31479949	1
chr1	31740718	31764853	1
chr1	31742005	31764853	1
chr1	32150422	32151281	1
chr1	32257027	32257078	1
chr1	32495899	32498935	2
chr1	32495899	32499774	1
chr1	32495899	32502644	4
chr1	32495899	32504220	2
chr1	32495899	32510991	2
chr1	32502511	32504220	7
chr1	32502511	32505174	4
chr1	32557276	32560572	1
chr1	32560385	32566163	6
chr1	32620189	32632897	2
chr1	32628836	32632897	1
chr1	32647068	32647178	1
chr1	32653555	32653725	1
chr1	32658836	32660607	1
chr1	33133826	33138502	2
chr1	33160466	33161645	1
chr1	33403998	33415375	1
chr1	33407853	33415375	1
chr1	33409620	33415375	1
chr1	33413823	33415375	2
chr1	33760538	33760906	6
chr1	34207822	34207986	1
chr1	35554350	35578782	1
chr1	35559515	35576048	1
chr1	35562918	35576048	1
chr1	35569896	35576048	1
chr1	35654604	35654678	1
chr1	35846860	35847359	1
chr1	35846860	35854683	5
chr1	35846860	35855699	3
chr1	35932209	35944813	1
chr1	36211052	36212593	1
chr1	36212367	36212593	1
chr1	36213508	36214205	3
chr1	36282483	36292436	3
chr1	36290914	36301594	1
chr1	36411293	36439112	1
chr1	36432556	36439112	1
chr1	36636572	36639079	3
chr1	36753078	36754354	1
chr1	36754661	36759536	1
chr1	36756975	36762371	1
chr1	38034452	38042157	1
chr1	38047824	38049534	3
chr1	38047824	38053096	1
chr1	38052912	38058407	1
chr1	38053168	38056446	1
chr1	38166108	38169019	1
chr1	38332131	38339760	1
chr1	38397581	38406470	2
chr1	38484162	38484202	1
chr1	38484170	38484824	1
chr1	39317287	39322754	1
chr1	39463843	39466778	1
chr1	39500077	39500228	1
chr1	39816457	39824936	2
chr1	39818679	39824936	1
chr1	39835702	39854330	1
chr1	39889730	39893205	1
chr1	39910334	39914435	1
chr1	39913104	39914435	1
chr1	39924758	39929358	1
chr1	39934287	39945681	1
chr1	40306807	40323089	1
chr1	40319642	40323089	1
chr1	40422759	40424497	1
chr1	40525006	40527484	2
chr1	40529899	40530231	1
chr1	40654727	40668286	5
chr1	40668084	40668286	2
chr1	40688246	40689023	1
chr1	40733458	40737707	3
chr1	40758159	40758265	1
chr1	40872408	40875507	1
chr1	40878688	40881053	1
chr1	40878688	40882768	1
chr1	41223901	41228598	1
chr1	41232346	41232375	1
chr1	41235028	41236485	1
chr1	41474466	41475261	3
chr1	41474466	41475926	1
chr1	41489838	41490146	1
chr1	41512079	41514562	1
chr1	41512079	41541123	2
chr1	41536267	41541123	12
chr1	41578955	41582682	2
chr1	41578955	41608784	5
chr1	42730786	42744343	4
chr1	42730786	42776781	1
chr1	42776721	42792325	1
chr1	43159250	43159359	2
chr1	43239217	43241150	1
chr1	43239234	43241150	4
chr1	43239234	43241193	1
chr1	43831067	43831125	1
chr1	43831830	43831938	1
chr1	44137176	44149475	1
chr1	44266953	44303983	1
chr1	44360055	44365399	1
chr1	44385604	44386600	1
chr1	44386076	44386600	6
chr1	44386076	44387310	2
chr1	44445664	44445779	2
chr1	44451329	44451420	1
chr1	44467985	44468657	1
chr1	44750507	44785416	1
chr1	44773982	44785416	1
chr1	45218927	45219362	1
chr1	45223228	45223812	5
chr1	45443987	45444064	1
chr1	45553553	45553909	1
chr1	46032241	46032692	1
chr1	46070618	46070688	1
chr1	46079768	46082065	4
chr1	46093932	46106075	1
chr1	46099161	46108171	1
chr1	46105882	46108171	3
chr1	46124700	46126897	3
chr1	46471913	46476611	1
chr1	46521467	46546422	2
chr1	46715698	46715791	1
chr1	46751034	46752171	1
chr1	46775569	46775988	1
chr1	46829027	46829184	1
chr1	47725961	47726211	1
chr1	47725961	47737913	2
chr1	47737748	47748131	1
chr1	47737748	47767420	1
chr1	47745913	47748131	7
chr1	47745913	47761520	2
chr1	47753223	47761520	2
chr1	47755107	47767420	1
chr1	47761437	47767420	1
chr1	47761437	47770668	3
chr1	47765577	47767420	1
chr1	47767233	47776034	1
chr1	47834141	47840965	1
chr1	47840581	47840965	2
chr1	47840616	47840657	1
chr1	48821342	48869554	1
chr1	48850981	48869554	1
chr1	51121114	51210447	1
chr1	51253672	51267349	5
chr1	51829614	51829700	2
chr1	51860053	51864837	1
chr1	51860053	51875368	1
chr1	51860053	51887530	2
chr1	51860053	51913807	2
chr1	51868107	51913807	1
chr1	51868107	51910717	1
chr1	51868107	51874004	12
chr1	51868107	51871780	1
chr1	51871577	51874004	1
chr1	51906019	51913807	1
chr1	52135106	52136881	1
chr1	52211208	52215867	1
chr1	52214041	52242590	1
chr1	52215817	52231653	2
chr1	52215817	52237854	1
chr1	52246836	52248315	1
chr1	52257752	52258034	1
chr1	52279707	52299842	1
chr1	52283738	52293541	1
chr1	52283738	52299842	1
chr1	52289336	52299842	5
chr1	52293468	52299842	10
chr1	52344241	52344333	1
chr1	52911459	52947595	1
chr1	52943380	52954707	1
chr1	52947476	52975384	1
chr1	52954581	52975384	1
chr1	52956404	52975384	1
chr1	52959283	52975384	1
chr1	52959283	52992045	1
chr1	52975268	52992045	2
chr1	53245525	53262456	1
chr1	53267491	53267811	1
chr1	53322670	53329829	1
chr1	53322670	53333449	2
chr1	53326403	53333449	2
chr1	53326403	53343515	2
chr1	53440441	53446215	1
chr1	53443889	53446215	2
chr1	53493689	53504681	1
chr1	53493702	53504681	1
chr1	53704033	53704166	1
chr1	54059781	54060663	1
chr1	54059781	54065951	8
chr1	54252831	54254869	3
chr1	54254806	54262817	1
chr1	54269601	54272190	1
chr1	54389577	54405770	1
chr1	54506429	54513045	1
chr1	54708908	54717533	1
chr1	54717289	54722859	1
chr1	55316806	55316934	1
chr1	55319152	55319739	1
chr1	56962227	56990226	1
chr1	56977648	56990226	4
chr1	59126842	59134354	1
chr1	59137542	59142728	2
chr1	59137542	59150923	1
chr1	59147457	59150923	3
chr1	59781264	59844509	3
chr1	59787208	59812070	9
chr1	59787208	59844509	5
chr1	59805630	59812070	2
chr1	59805634	59844509	1
chr1	59811919	59844509	1
chr1	62149089	62175109	1
chr1	62160369	62166697	1
chr1	62166606	62175109	2
chr1	62905470	62907970	2
chr1	62905470	62916158	1
chr1	62907159	62907970	1
chr1	62907159	62908990	1
chr1	62907159	62911100	1
chr1	62910409	62914337	2
chr1	62939653	62979569	1
chr1	62970301	62979277	2
chr1	62973343	62973729	1
chr1	63001164	63005563	1
chr1	63042933	63044637	2
chr1	63042933	63052295	1
chr1	63269390	63270926	1
chr1	63269390	63286880	1
chr1	63867925	63879817	1
chr1	63944435	63974241	3
chr1	64095096	64120137	1
chr1	64117353	64117421	1
chr1	65095038	65107652	1
chr1	65098282	65107652	1
chr1	65131740	65141666	2
chr1	65243306	65255197	1
chr1	65243306	65280523	2
chr1	65311259	65313268	4
chr1	65830318	65851589	1
chr1	65830318	65831879	3
chr1	65849876	65855310	3
chr1	66378928	66384518	36
chr1	66378928	66403383	7
chr1	66454391	66454472	2
chr1	66713143	66731770	1
chr1	67098753	67109402	1
chr1	67327830	67371058	1
chr1	67356837	67359044	1
chr1	67356837	67371058	11
chr1	67358912	67371058	2
chr1	67411833	67425426	1
chr1	67411833	67428843	3
chr1	67423742	67428843	6
chr1	67486052	67487285	1
chr1	67861088	67871451	2
chr1	67885748	67885858	1
chr1	68170580	68170653	2
chr1	68172086	68172273	1
chr1	68226123	68233267	1
chr1	68960113	68960378	1
chr1	70646769	70653021	1
chr1	70650468	70654956	1
chr1	70652948	70654956	1
chr1	70692271	70692385	1
chr1	70694105	70698060	1
chr1	70694105	70705203	1
chr1	70697951	70716814	1
chr1	70712503	70715730	1
chr1	70736539	70742527	1
chr1	70736539	70771973	1
chr1	70736539	70781249	6
chr1	70740403	70766591	1
chr1	70740403	70771973	1
chr1	70740403	70781249	1
chr1	70758071	70771973	4
chr1	70758071	70781249	14
chr1	70761813	70771973	1
chr1	70761813	70781249	1
chr1	70766447	70779473	1
chr1	70766447	70781249	3
chr1	70771907	70781249	1
chr1	70883620	70890099	1
chr1	72931118	72984871	1
chr1	76211491	76216231	2
chr1	76254844	76255041	1
chr1	77620134	77635080	1
chr1	78041753	78050340	1
chr1	78097520	78099090	1
chr1	78097520	78107340	2
chr1	78097535	78099090	1
chr1	78097535	78107340	3
chr1	78098800	78107340	1
chr1	78107069	78107340	1
chr1	78177432	78178966	5
chr1	78177432	78181553	2
chr1	78183552	78191447	1
chr1	78195545	78205102	3
chr1	78279419	78309092	1
chr1	78324623	78327007	2
chr1	78338686	78340796	1
chr1	78381740	78383958	6
chr1	78390873	78392577	3
chr1	78406653	78407906	3
chr1	78426033	78426113	1
chr1	79383319	79412111	1
chr1	79403610	79403861	1
chr1	84376848	84412965	2
chr1	84644860	84680000	1
chr1	85121515	85121556	1
chr1	85121515	85136991	1
chr1	85331068	85331821	2
chr1	85634727	85656435	1
chr1	85655740	85656435	3
chr1	86048220	86048275	1
chr1	86200432	86227249	2
chr1	86426932	86437076	1
chr1	86554857	86611866	1
chr1	86578250	86611866	3
chr1	86590528	86611866	1
chr1	86838114	86851273	2
chr1	87181407	87208918	2
chr1	89206671	89226059	1
chr1	89206671	89251896	3
chr1	89236035	89251896	4
chr1	89236035	89237562	3
chr1	89401782	89420908	1
chr1	90398855	90398946	1
chr1	91382197	91406866	1
chr1	91382197	91447927	1
chr1	91383609	91406866	1
chr1	91403042	91406866	1
chr1	91403042	91447927	4
chr1	92798948	92811471	1
chr1	92798948	92846430	5
chr1	93070864	93073284	1
chr1	93070864	93091491	2
chr1	93070864	93101893	3
chr1	93316405	93341987	1
chr1	93575787	93584958	1
chr1	93676359	93720171	1
chr1	93677658	93698150	2
chr1	93680300	93712511	1
chr1	93683295	93698150	1
chr1	93770945	93791452	2
chr1	94032836	94033408	1
chr1	94140170	94140497	4
chr1	94341824	94343418	6
chr1	94360170	94370144	1
chr1	94360170	94363454	3
chr1	94360170	94367225	5
chr1	94667276	94697199	2
chr1	94685814	94697199	3
chr1	94953098	94972198	1
chr1	94955281	94965170	2
chr1	94964158	94972198	2
chr1	95363621	95365042	1
chr1	97235259	97250810	3
chr1	97235259	97236407	2
chr1	98144651	98165103	2
chr1	98144651	98187227	1
chr1	98439866	98444871	1
chr1	99156631	99167459	1
chr1	101372408	101387397	7
chr1	101438413	101438719	1
chr1	104068919	104070364	1
chr1	104070317	104093695	2
