junction	orig_count	orig_posterior	swapped_count	swapped_posterior	total_reads
chr12|TAOK3:118671478|TAOK3:118704564|rev|-	1	0.644339237229	0	0	1
chr15|TMEM62:43447029|TMEM62:43438690|rev|+	1	0.901209571478	1	0.829497790216	1
chr16|CARHSP1:8952206|CARHSP1:8953192|rev|-	2	0.264276601148	2	0.810944863461	4
chr15|MYO9A:72189801|MYO9A:72191373|dup|-	0	0.0	1	0.836394034779	1
chr3|ATP11B:182607336|ATP11B:182602540|rev|+	0	0.0	1	0.814490392038	1
chr8|PLEKHA2:38810885|PLEKHA2:38801306|rev|+	1	0.793832916534	1	0.854723335981	1
chr1|EVI5:93029198|EVI5:93073284|rev|-	1	0.895901723543	1	0.895077344226	2
chr1|RCAN3:24841057|RCAN3:24840803|dup|+	1	0.899551977259	6	0.999994362544	6
chr12|METAP2:95905774|METAP2:95887831|rev|+	1	0.905658798361	0	0	1
chr1|TMCO4:20082126|TMCO4:20113610|rev|-	1	0.88936059249	0	0	1
chr5|APC:112103087|APC:112102022|rev|+	0	0.0	2	0.976257311559	2
chr15|HERC2P2:23333848|HERC2P2:23339028|rev|-	0	0.0	1	0.0354781550642	1
chr2|MTX2:177193113|MTX2:177161587|rev|+	1	0.815037026551	0	0	1
chr1|PUM1:31452908|PUM1:31468067|rev|-	0	0.0	1	0.848998232385	1
chr10|PIP4K2A:22880557|PIP4K2A:22898646|rev|-	1	0.852739137791	0	0	1
chr9|EHMT1:140676849|EHMT1:140669560|rev|+	1	0.71776976722	0	0	1
chr14|PSEN1:73659572|PSEN1:73614502|rev|+	0	0.0	1	0.877677166459	1
chr2|AAK1:69769654|AAK1:69771676|rev|-	0	0.0	1	0.925472025193	1
chr1|RFWD2:175996707|RFWD2:176015460|rev|-	1	0.846586336068	0	0	1
chr6|RNF217:125379252|RNF217:125366356|rev|+	1	0.88936059249	0	0	1
chr18|DYM:46889530|DYM:46906128|rev|-	4	0.998358406249	1	0.6337998285	5
chr1|ANKRD13C:70736538|ANKRD13C:70742527|rev|-	0	0.0	1	0.759698699551	1
chr13|MYCBP2:77791974|MYCBP2:77807398|rev|-	4	0.91182301552	4	0.259254255389	4
chr15|MYO5A:52667500|MYO5A:52672105|rev|-	1	0.88936059249	0	0	1
chr18|OSBPL1A:21805005|OSBPL1A:21914294|rev|-	1	0.897787664764	0	0	1
chr9|ZCCHC6:88918000|ZCCHC6:88919862|rev|-	2	0.968648470182	1	0.892097807984	3
chr3|PLOD2:145838898|PLOD2:145842016|rev|-	5	0.999681215887	7	0.999987003887	7
chr9|FANCC:98002930|FANCC:98011651|rev|-	0	0.0	1	0.882017213964	1
chr1|SNRNP40:31740717|SNRNP40:31764853|rev|-	0	0.0	1	0.87412591523	1
chr3|QTRTD1:113775711|GRAMD1C:113627804|rev|+	1	0.847289050927	0	0	1
chr10|CDK1:62545545|CDK1:62539898|rev|+	1	0.847289050927	1	0.622604910075	2
