junction	orig_count	orig_posterior	swapped_count	swapped_posterior	total_reads
chr15|TMEM62:43447029|TMEM62:43438690|rev|+	3	0.907836277326	5	0.920645544077	8
chr16|CARHSP1:8952206|CARHSP1:8953192|rev|-	5	0.359227137199	6	0.812776881409	8
chr19|MRPS12:39423659|MRPS12:39422972|dup|+	6	0.865306779801	6	0.818050445802	12
chr22|TBC1D22A:47393605|TBC1D22A:47370185|rev|+	4	0.086556914429	5	0.626028251754	8
chr8|TMEM65:125332326|TMEM65:125343033|rev|-	2	0.667342216131	5	0.106198420629	7
chr5|MAP3K1:56168549|MAP3K1:56160560|rev|+	6	0.96950635423	6	0.734451036549	12
chr14|CDC42BPB:103404440|CDC42BPB:103404748|rev|-	7	0.960575408626	0	0	7
chr13|TMCO3:114193822|TMCO3:114149816|rev|+	4	0.883450364332	2	0.783898227155	6
chr7|PMS2L2:74981056|PMS2P3:75141745|rev|-	2	0.00121208470289	1	0.0522969137464	3
chr2|MTX2:177193113|MTX2:177161587|rev|+	2	0.00666086376325	2	0.619234408672	4
chr19|TRIM28:59061402|TRIM28:59061103|rev|+	4	0.589313867724	4	0.79633210738	5
chr17|PITPNC1:65549733|PITPNC1:65528917|rev|+	1	0.374086569761	1	0.579735066551	1
chr17|TMEM98:31268667|TMEM98:31260191|rev|+	3	0.893081852661	3	0.850993066034	6
chr14|PSEN1:73659572|PSEN1:73614502|rev|+	3	0.907110678168	3	0.615974675507	6
chr17|TBCD:80758872|TBCD:80714040|rev|+	2	0.456736203337	4	0.0120083632843	6
chr12|LRP1:57567763|LRP1:57566950|rev|+	5	0.904151888348	3	0.865271392602	8
chrX|HUWE1:53610517|HUWE1:53618082|rev|-	6	0.905425973227	4	0.904578499069	10
chr3|SLC41A3:125725199|SLC41A3:125725407|dup|-	3	0.783601820705	4	0.792367222722	4
chr1|RFWD2:175996707|RFWD2:176015460|rev|-	3	0.835523493393	9	0.627173231579	12
chr15|HERC2P2:23330245|HERC2P2:23339028|rev|-	1	0.0286644805516	0	0	1
chr19|DNMT1:10287967|DNMT1:10292753|rev|-	4	0.533511099817	1	0.0332191616329	5
chr11|B3GNT1:66112842|B3GNT1:66115161|rev|-	1	0.722640806958	5	0.723644139812	6
chr8|PLEKHA2:38810222|PLEKHA2:38803641|rev|+	6	0.673378613321	3	0.872012930582	9
chr14|NEK9:75567694|NEK9:75570700|rev|-	4	0.903783412278	2	0.765389969611	6
chr8|CPNE3:87563328|CPNE3:87560528|rev|+	3	0.872231483151	2	0.575800822116	5
chr1|MTOR:11307875|MTOR:11317222|rev|-	6	0.937050552106	3	0.735363487939	9
chr1|KANK4:62713143|KANK4:62734177|rev|-	2	0.797560901755	4	0.753649379747	6
chr5|TRIO:14481727|TRIO:14419886|rev|+	4	0.699232853073	2	0.365910178717	6
chr7|SERPINE1:100780365|SERPINE1:100778774|rev|+	4	0.862829642427	5	0.530360541196	7
chr11|FADS1:61570272|FADS1:61578547|rev|-	4	0.470944934598	2	0.816026419678	6
chr17|SLC25A39:42396992|SLC25A39:42400945|rev|-	6	0.523705964851	4	0.319272557823	10
chr11|DNHD1:6569270|DNHD1:6559612|rev|+	5	0.932546361995	3	0.385024738782	8
chr7|BCL7B:72954211|BCL7B:72957974|rev|-	3	0.618095934165	3	0.599589047564	4
chr17|PGS1:76395618|PGS1:76388556|rev|+	4	0.723852161325	2	0.493144461864	6
chr9|TUBB4B:140138159|TUBB4B:140136172|rev|+	2	0.622542808075	3	0.71386165948	5
chr6|RREB1:7187756|RREB1:7176887|rev|+	2	0.650442564135	6	0.440240774732	8
chr1|UBR4:19495928|UBR4:19501527|rev|-	3	0.803723462162	5	0.071110944051	8
chr16|CES2:66973261|CES2:66971939|rev|+	3	0.627214498181	5	0.926776982605	8
chr5|TBC1D9B:179296768|TBC1D9B:179331812|rev|-	3	0.864152154854	3	0.185503667509	6
chr11|EEF1G:62327753|EEF1G:62339373|rev|-	1	0.580374306039	1	0.0500363381321	2
chr1|NPHP4:6007163|NPHP4:6012896|rev|-	2	0.767831936184	3	0.846850585232	5
chr12|A2M:9246060|A2M:9265132|rev|-	2	0.425074709046	5	0.676374848377	7
chr3|PTPRG:61989171|PTPRG:61975298|rev|+	2	0.854254403428	6	0.957089695901	8
chr1|ILF2:153635180|ILF2:153635271|dup|-	1	0.34518016422	1	0.398684861239	1
chr12|NUP107:69135760|NUP107:69109406|rev|+	4	0.901662420302	2	0.606106151783	6
chr10|ABCC2:101572901|ABCC2:101554169|rev|+	2	0.89638584755	1	0.520334486758	3
chrX|HSD17B10:53458205|HSD17B10:53460833|rev|-	2	0.816667807242	6	0.96039065821	8
chr18|TTC39C:21705514|TTC39C:21703797|rev|+	3	0.844728770238	3	0.543181640374	4
chr2|TTL:113290222|TTL:113251719|rev|+	1	0.448078390206	8	0.709310546115	9
chrX|L1CAM:153135842|L1CAM:153135954|dup|-	5	0.678654202624	1	0.586712234342	5
chr1|SLC16A1:113459799|SLC16A1:113471974|rev|-	1	0.566660222736	3	0.595564468815	4
