junction	orig_count	orig_posterior	swapped_count	swapped_posterior	total_reads
chr1|RCAN3:24841057|RCAN3:24840803|dup|+	36	1.0	15	0.999999297459	46
chr22|MICALL1:38315185|MICALL1:38307958|rev|+	7	0.000266440931059	8	0.000197453593393	13
chr12|TXNRD1:104719207|TXNRD1:104712690|rev|+	0	0.0	1	0.747023571647	1
chr8|TMEM65:125332326|TMEM65:125343033|rev|-	5	0.942922720228	10	0.970409108383	14
chr12|ACTR6:100599522|ACTR6:100598717|rev|+	13	0.999970052058	9	0.999841588876	16
chr15|HERC2P2:23333848|HERC2P2:23339028|rev|-	2	7.25693210921e-05	0	0	2
chr10|PIP4K2A:22880557|PIP4K2A:22898646|rev|-	6	0.96684772355	7	0.998396958214	13
chr8|ARHGEF10:1833873|ARHGEF10:1824736|rev|+	18	0.999998737559	12	0.999930853318	28
chr9|DENND1A:126429304|DENND1A:126531842|rev|-	0	0.0	1	0.658746110933	1
chr12|TRAFD1:112586108|TRAFD1:112583389|rev|+	2	0.799166781223	1	0.676712325918	3
chr19|NCLN:3198895|NCLN:3193281|rev|+	1	0.651956553157	0	0	1
chr11|KDM2A:66986874|KDM2A:66982810|rev|+	2	0.87503205578	0	0	2
chr1|EPHX4:92511217|EPHX4:92508379|rev|+	1	0.651136250527	1	0.734166378916	2
chr18|DYM:46889530|DYM:46906128|rev|-	7	0.950177766798	5	0.932046817356	12
chr12|CIT:120260623|CIT:120263172|rev|-	3	0.935427713606	4	0.989127506127	6
chr1|USP24:55545210|USP24:55555413|rev|-	1	0.688198286769	1	0.734166378916	1
chr12|ANAPC7:110825543|ANAPC7:110833025|rev|-	1	0.559496481723	1	0.664821797208	2
chr3|DNAJC13:132203516|DNAJC13:132198070|rev|+	1	0.676710301625	0	0	1
chr19|ASF1B:14232343|ASF1B:14237049|rev|-	1	0.723614431084	1	0.687709086383	1
chr8|ELP3:28019595|ELP3:27987018|rev|+	2	0.883771606199	0	0	2
chr15|SEC11A:85223943|SEC11A:85231005|rev|-	0	0.0	1	0.762388620011	1
chr1|IARS2:220311385|IARS2:220310150|rev|+	2	0.549419118235	3	0.576381974386	5
chr2|WDFY1:224758950|WDFY1:224777043|rev|-	0	0.0	1	0.695528624877	1
chr2|GTDC1:144899448|GTDC1:144903306|rev|-	1	0.71904055759	0	0	1
chr6|UTRN:144809970|UTRN:144803344|rev|+	1	0.732333445895	0	0	1
chr6|LRRC16A:25500463|LRRC16A:25491959|rev|+	2	0.781632868133	0	0	2
chr10|CDK1:62545545|CDK1:62539898|rev|+	2	0.840600341116	1	0.0375513769327	3
chr17|PGS1:76395618|PGS1:76388556|rev|+	1	0.335248716826	4	0.981560001478	5
chr12|FBRSL1:133124618|FBRSL1:133084738|rev|+	1	0.43712072494	0	0	1
chr12|DRAM1:102313979|DRAM1:102301963|rev|+	9	0.993064838015	8	0.998175855626	16
chr9|UHRF2:6499931|UHRF2:6477621|rev|+	2	0.876824416315	1	0.776156665742	3
chr16|CDK10:89758924|CDK10:89757850|rev|+	3	0.951830107172	3	0.311543575769	6
chr7|PUS7:105105759|PUS7:105111295|rev|-	1	0.792841875999	1	0.688223901536	2
chr16|NPRL3:138696|NPRL3:142723|rev|-	0	0.0	1	0.704684982367	1
chr3|DCP1A:53346270|DCP1A:53353500|rev|-	2	0.89255728902	4	0.959151273925	6
chr4|LETM1:1838155|LETM1:1843524|rev|-	2	0.873031007374	3	0.947374082242	3
chr19|UHRF1:4947223|UHRF1:4941539|rev|+	2	0.790127310638	4	0.979698195184	6
chr14|TDP1:90459827|TDP1:90446883|rev|+	0	0.0	1	0.758716644486	1
chr18|TTC39C:21705514|TTC39C:21703797|rev|+	2	0.24116685106	4	0.654955909299	5
chr11|COPB1:14504577|COPB1:14512225|rev|-	0	0.0	1	0.647527578279	1
chr11|IPO7:9455393|IPO7:9455116|rev|+	3	0.943700453302	1	0.456225277392	4
chr8|ANKRD46:101540072|ANKRD46:101545539|rev|-	2	0.892132932491	1	0.715054865383	3
chr11|SBF2:10022460|SBF2:10024236|rev|-	1	0.175122986689	0	0	1
chr16|CLEC16A:11097162|CLEC16A:11096930|dup|+	3	0.971734037342	1	0.492161676494	3
chr4|G3BP2:76580249|G3BP2:76581054|rev|-	4	0.349507634912	1	0.769441855725	5
chr7|ZC3HAV1:138739950|ZC3HAV1:138745884|rev|-	3	0.927907638797	0	0	3
chr15|THSD4:72040933|THSD4:72020887|rev|+	1	0.660193313775	0	0	1
chr20|ERGIC3:34136618|ERGIC3:34136261|rev|+	3	0.934892425973	1	0.646356092379	4
chr14|ITPK1:93424545|ITPK1:93460342|rev|-	1	0.636982389478	0	0	1
chr7|CCT6A:56124107|CCT6A:56123316|rev|+	3	0.734782887492	0	0	3
chr9|ZCCHC6:88934498|ZCCHC6:88937390|rev|-	1	0.358210480177	2	0.862721638376	2
chr2|TMEM87B:112847295|TMEM87B:112832488|rev|+	0	0.0	1	0.699313010113	1
chr12|APPL2:105597480|APPL2:105623001|rev|-	2	0.847199159901	0	0	2
chr16|VPS35:46708225|VPS35:46711310|rev|-	3	0.884833248889	3	0.929086408078	6
chr15|THBS1:39877764|THBS1:39876500|rev|+	2	0.415545794699	2	0.816482377755	2
chr12|MAPKAPK5:112321572|MAPKAPK5:112321384|dup|+	26	0.999999999989	19	0.99999646554	38
chr12|MAPKAPK5:112308984|MAPKAPK5:112303053|rev|+	3	0.893492398373	7	0.983926586586	9
chr13|NBEA:35770439|NBEA:35756496|rev|+	0	0.0	2	0.884088489308	2
chr1|NAV1:201752980|NAV1:201749548|rev|+	1	0.768868935439	1	0.779403397101	2
chr19|KDM4B:5047680|KDM4B:5032876|rev|+	1	0.71904055759	1	0.658746110933	2
chr6|ASCC3:101073067|ASCC3:101086697|rev|-	0	0.0	2	0.643906890702	2
chr15|LOXL1:74240243|LOXL1:74239407|rev|+	2	0.887270431236	0	0	2
chr7|CPED1:120907356|CPED1:120906280|rev|+	3	0.95649712166	5	0.998142967749	7
chr1|GPR161:168065745|GPR161:168074132|rev|-	2	0.855544478432	0	0	2
chr20|TRPC4AP:33645316|TRPC4AP:33657215|rev|-	2	0.826437363653	3	0.942956462066	3
chr6|GMDS:1726649|GMDS:1742820|rev|-	2	0.522313377379	1	0.733609433413	3
chr14|PSEN1:73659572|PSEN1:73614502|rev|+	0	0.0	2	0.253839441505	2
chr3|PRKCD:53224017|PRKCD:53221355|rev|+	1	0.125799833288	2	0.0129229498375	3
chr9|PTBP3:115038123|PTBP3:115038293|dup|-	4	0.971217466972	2	0.933078817979	4
chr9|INVS:102992109|INVS:102988343|rev|+	2	0.877080888084	1	0.57782769844	2
chr2|C2orf43:20974569|C2orf43:20990158|rev|-	6	0.9953096001	5	0.960941899762	11
chr5|SEC24A:134053863|SEC24A:134039448|rev|+	4	0.975129959749	1	0.693824040175	5
chr16|PDPR:70163025|PDPR:70162686|rev|+	2	0.000452608990789	0	0	2
chr1|JAK1:65334993|JAK1:65344831|rev|-	1	0.654211574697	1	0.688223901536	2
chr17|BRIP1:59924461|BRIP1:59926617|rev|-	2	0.79056121841	0	0	2
chr3|HDAC11:13544480|HDAC11:13542212|rev|+	5	0.99044660946	6	0.480123596572	11
chr19|DNMT1:10291025|DNMT1:10291245|dup|-	2	0.837332078875	0	0	2
chr19|ERCC1:45916934|ERCC1:45918218|rev|-	1	0.666088693675	0	0	1
chr19|PLEKHA4:49360678|PLEKHA4:49363716|rev|-	1	0.67372689405	0	0	1
chr11|IFT46:118427620|IFT46:118430579|rev|-	11	0.99996020587	5	0.986570961133	15
chr16|PAPD5:50251574|PAPD5:50248131|rev|+	1	0.037244697256	1	0.0366856241977	2
