Chr	Start	End	dsimulate_pairs_Chimeric.out.junction
chr1	1444585	1464711	1
chr10	27228768	27230598	1
chr10	37442500	37454083	1
chr10	124335980	124345640	1
chr10	124343838	124355142	1
chr10	124354858	124377571	1
chr12	2804658	2852887	1
chr12	2804908	2853136	9
chr12	2805060	2853288	1
chr12	40910416	40919232	1
chr12	40914717	40919232	1
chr15	73995113	73996338	3
chr19	9015318	9017518	1
chr19_gl000209_random	102136	132329	1
chr19_gl000209_random	102345	134974	1
chr19_gl000209_random	107405	120712	1
chr19_gl000209_random	111721	140096	1
chr2	152427011	152436163	1
chr2	152435852	152465190	1
chr2	152443888	152464122	1
chr22	39345117	39358218	1
chr3	186951518	186953823	1
chr4	8588219	8589463	2
chr6	161006078	161016567	1
chr6	161127439	161195068	1
chr6_cox_hap2	1313258	1741248	1
chr6_qbl_hap6	3078888	3091085	1
chr7	99282778	99293469	1
chr8	144993429	144995405	1
chrX	49600989	49642547	1
chrX	152113891	152128322	1
chrY	9544526	9549349	1
chrY	25298944	25299015	1
chrY	25314804	25316657	2
chrY	26988592	26999350	1
