junction	orig_count	orig_posterior	swapped_count	swapped_posterior	total_reads
chr14|KIAA0247:70171459|EXD2:69670633|rev|+	0	0.0	1	0.00605939455184	1
chr1|IFI16:159021888|CD1A:158224873|rev|+	1	0.00026381924912	1	0.00167104973325	2
chr17|USH1G:72919004|GALK1:73754680|rev|-	1	0.000240263702842	0	0	1
chr17|KRT13:39659538|KRT17:39778006|rev|-	1	0.00692310112244	0	0	1
chr2|LMAN2L:97371666|ANKRD36B:98197031|rev|-	1	0.000150186899255	0	0	1
chr12|STAT6:57504892|ARHGAP9:57868756|rev|-	0	0.0	1	0.0070965224365	1
chr3|SLC6A1:11034615|SLC6A11:10979935|rev|+	0	0.0	1	0.00074683358792	1
chrX|ZCCHC13:73524869|JPX:73281870|rev|+	2	4.31545280049e-07	0	0	2
chr5|ETF1:137844357|DNAJC18:138775214|rev|-	0	0.0	1	0.000787159814358	1
chr16|WDR24:734991|IFT140:1657298|rev|-	0	0.0	1	0.00111732404475	1
chr1|PRAMEF20:13743098|PRAMEF15:13645763|rev|+	0	0.0	1	0.00520131512628	1
chr1|CR1L:207857302|CR1:207696955|rev|+	1	0.048741362127	1	0.0388301908121	2
chr4|UGT2A3:69796263|UGT2A1:70455369|rev|-	1	0.000481040209439	0	0	1
chr19|RFX1:14090258|LPHN1:14271109|rev|-	0	0.0	1	0.00130789900443	1
chr15|CILP:65488336|MIR4511:66011670|rev|-	0	0.0	1	0.00318728324628	1
chr18|PIAS2:44400895|HDHD2:44656699|rev|-	0	0.0	1	0.00605939455184	1
chr7|C7orf49:134850531|SLC13A4:135384296|rev|-	0	0.0	1	0.00428235893197	1
chr15|IQCH:67599561|SMAD6:67000929|rev|+	0	0.0	1	0.000787159814358	1
chr3|NT5DC2:52563165|TKT:53263452|rev|-	0	0.0	1	0.00117762924309	1
chr7|CCT6P1:65220939|CCT6P3:64527322|rev|+	1	0.885656417126	0	0	1
chr16|DNAH3:20990651|DNAH3:21108820|rev|-	1	0.000384295389383	0	0	1
chr1|VPS13D:12460387|VPS13D:12429521|rev|+	1	0.000853495961286	0	0	1
chr17|UTP18:49346265|ACSF2:48540755|rev|+	0	0.0	1	0.00106003418756	1
chrX|GAGE12E:49345790|GAGE2E:49208816|rev|+	0	0.0	1	0.76382215896	1
chr10|SORBS1:97321076|BLNK:97983745|rev|-	0	0.0	1	0.000787159814358	1
chr12|METTL21B:58176324|SHMT2:57623355|rev|+	1	0.00198287989813	0	0	1
chr1|CFHR4:196882052|CFHR3:196759174|rev|+	2	0.415721298148	0	0	2
chr6|HLA-DQA2:32713184|HLA-DQA1:32609748|rev|+	1	0.994582056431	7	1.96775752349e-10	8
