junction	numReads	p_predicted	p_value
chr10|ADD3:111882050|RNU6-53:110930439|rev|+	1	9.82479559730039e-05	0.000404461632242024
chr10|CTBP2:126799558|CTBP2:126799662|dup|-	1	0.987449009607435	1.61680708087535e-60
chr10|ECHS1:135175986|SYCE1:135372455|rev|-	2	4.27425895664351e-18	0.0671686017470573
chr10|GRID1:88123697|GRID1:88123853|dup|-	2	0.99901031486498	1.4157294627065e-207
chr10|HK1:71161637|DDX21:70719561|rev|+	1	1.00771620326275e-09	0.0949907475563256
chr10|LDB1:103867324|NT5C2:104855737|rev|-	1	2.62411570183323e-09	0.0949907475563255
chr10|MYOF:95066185|MYOF:95216694|rev|-	2	4.64846755944465e-17	0.0671686017470573
chr10|VIM:17279592|PTER:16526335|rev|+	1	1.78332968600668e-09	0.0949907475563256
chr11|AASDHPPT:105969419|AASDHPPT:105965309|rev|+	1	2.62411570183323e-09	0.0949907475563255
chr11|AHNAK:62283373|EML3:62374571|rev|-	1	2.52073680138127e-09	0.0949907475563255
chr11|ALG9:111652918|PIH1D2:111942482|rev|-	4	8.23290826727289e-36	0.0474953737781628
chr11|CCDC84:118886455|CXCR5:118754474|rev|+	1	2.41336095449286e-07	0.0949561006987401
chr11|CHEK1:125546150|SLC37A2:124958014|rev|+	1	5.91885642814474e-11	0.0949907475563256
chr11|CLNS1A:77327195|CLNS1A:77336863|rev|-	1	1.46137532392544e-09	0.0949907475563256
chr11|CLNS1A:77330650|CLNS1A:77340944|rev|-	1	0.988119924333661	6.52584994367109e-61
chr11|COX8A:63744015|SLC22A10:63078478|rev|+	7	8.43932983730756e-64	0.0359031278408792
chr11|CPT1A:68540732|CPT1A:68552478|rev|-	1	1.48604508989652e-10	0.0949907475563256
chr11|CTNND1:57529518|SMTNL1:57310113|rev|+	12	1	0
chr11|CTNND1:57529518|SMTNL1:57313353|rev|+	1	0.984682085121761	4.2531185165261e-59
chr11|CTNND1:57529540|SMTNL1:57310113|rev|+	1	0.98702129552655	2.80853008584002e-60
chr11|CTNND1:57529591|SMTNL1:57310113|rev|+	2	0.999665808915698	2.67010451916667e-222
chr11|EHBP1L1:65360116|ZFPL1:64854787|rev|+	1	5.69825234437966e-11	0.0949907475563256
chr11|NADSYN1:71212581|SHANK2-AS1:70477198|rev|+	1	5.69825234437966e-11	0.0949907475563256
chr11|NXF1:62559597|MIR3680-2:63015225|rev|-	1	2.94012668543828e-07	0.0949209966203689
chr11|PC:66615996|CLCF1:67141206|rev|-	1	2.72996506938212e-09	0.0949907475563254
chr11|PRCP:82571018|PRCP:82571159|dup|-	1	0.982062741548178	5.55142999674076e-58
chr11|RRM1:4160106|RRM1:4144412|rev|+	5	1.2442707883025e-43	0.0424811537538932
chr11|SAC3D1:64812300|STIP1:63964742|rev|+	1	1.04876869824993e-09	0.0949907475563256
chr11|SIPA1:65412600|SLC22A20:65003879|rev|+	1	2.83822622954529e-09	0.0949907475563254
chr11|TM7SF2:64883707|VEGFB:64004658|rev|+	1	6.31656779738742e-11	0.0949907475563256
chr11|TMEM132A:60704631|MS4A14:60163486|rev|+	1	7.56737257151381e-11	0.0949907475563256
chr11|TMEM132A:60704631|MS4A8B:60467046|rev|+	1	2.72996506938212e-09	0.0949907475563254
chr11|TMX2:57508445|OR5AK4P:56805008|rev|+	1	5.69825234437966e-11	0.0949907475563256
chr12|A2M:9230296|PZP:9310437|rev|-	1	1.29654739913692e-10	0.0949907475563256
chr12|A2M:9251976|PZP:9333728|rev|-	1	3.79338822771995e-07	0.0948276790298495
chr12|ATXN2:111890017|HECTD4:112685354|rev|-	3	7.31326072314546e-29	0.0548429336721684
chr12|ATXN2:111990083|ATXN2:111990781|rev|-	1	0.987020374249427	2.8118143854821e-60
chr12|CDK2:56366568|OR2AP1:55968198|rev|+	1	9.92909696567635e-11	0.0949907475563256
chr12|CHD4:6679247|CHD4:6687712|rev|-	2	1.27528250330786e-15	0.0671686017470573
chr12|CKAP4:106631658|LOC100287944:106901588|rev|-	1	2.62969764478634e-10	0.0949907475563256
chr12|GAPDH:6647162|LTBR:6495512|rev|+	1	5.69825234437966e-11	0.0949907475563256
chr12|GPRC5A:13044598|CREBL2:12788710|rev|+	2	0.997207791703143	5.68853146396755e-194
chr12|HNRNPA1:54679030|HOXC9:54393876|rev|+	9	2.46258221430455e-80	0.0316635825187752
chr12|HNRNPA1P10:54678663|HOXC4:54447660|rev|+	1	2.62411570183323e-09	0.0949907475563255
chr12|ITGA7:56090682|CD63:56119680|rev|-	1	0.965998585226881	1.54232617233073e-53
chr12|KRT80:52579162|KRT6A:52884956|rev|-	1	1.35459251862264e-09	0.0949907475563256
chr12|MANSC1:12482217|GPR19:12815404|rev|-	1	2.216227739439e-07	0.0949654200906819
chr12|MRPL51:6601315|CHD4:6687712|rev|-	1	3.87285019567798e-10	0.0949907475563256
chr12|PDE3A:20792891|PDE3A:20709593|rev|+	1	0.979538922331554	4.66365833554779e-57
chr12|PFDN5:53693234|EIF4B:53410256|rev|+	1	4.5910658994579e-08	0.0949907251839055
chr12|PRR13:53837557|PRR13:53836478|rev|+	1	0.249804952099709	2.54821272174477e-28
chr12|RAN:131360826|PIWIL1:130827124|rev|+	1	1.68112247754337e-07	0.094982000906475
chr12|SRSF9:120899470|CAMKK2:121678345|rev|-	1	3.20423609044838e-10	0.0949907475563256
chr12|TMBIM6:50158717|SPATS2:49888523|rev|+	1	5.07237096909911e-07	0.0945916815266764
chr12|TMEM116:112371689|TMEM116:112381173|rev|-	1	0.983496889822762	1.43370055330592e-58
chr12|TUBA1B:49523282|TUBA1A:49580241|rev|-	1	0.858246118217185	8.40210453748593e-44
