junction	orig_count	orig_posterior	swapped_count	swapped_posterior	total_reads
chr12|SNRNP35:123942763|SETD8:123875176|rev|+	0	0.0	1	0.989368675136	1
chr1|MARK1:220791888|MARK1:220791651|dup|+	0	0.0	1	2.67996514906e-12	1
chr7|ZNHIT1:100866055|TRIP6:100468195|rev|+	0	0.0	1	7.96824554166e-13	1
chr6|HLA-E:30460360|HLA-A:29913227|rev|+	1	0.000504574632715	2	1.00124266186e-09	2
chr2|WNT6:219736541|RUFY4:218954674|rev|+	1	2.72996506938e-09	0	0	1
chr1|CTPS1:41478235|ZMPSTE24:40751596|rev|+	1	5.69825234438e-11	0	0	1
chr16|CLEC18A:69985000|CIRH1A:69167360|rev|+	0	0.0	1	9.04666143453e-12	1
chr5|DIAPH1:140894587|DIAPH1:140915629|rev|-	5	1.08417595611e-20	0	0	5
chr22|CSNK1E:38694790|LOC400927:38794931|rev|-	1	3.1422182677e-07	0	0	1
chr19|ZNF225:44617722|ZNF224:44600495|rev|+	0	0.0	1	3.89792915394e-09	1
chr7|COA1:43769027|URGCP-MRPS24:43906581|rev|-	0	0.0	1	9.17247505809e-12	1
chr19|PHLDB3:44001269|LYPD5:44302753|rev|-	1	2.52073680138e-09	0	0	1
chr16|GLG1:74508443|RFWD3:74695349|rev|-	0	0.0	1	1.03421608137e-10	1
chr11|LDHAL6A:18485625|LDHA:18422383|rev|+	0	0.0	2	1.11392321668e-23	2
chr17|ZNF232:5009030|NUP88:5290430|rev|-	1	4.65237076859e-07	0	0	1
chr3|PDCD6IP:33840429|CRTAP:33183886|rev|+	0	0.0	1	1.2321770402e-12	1
chr1|NCSTN:160328742|SLAMF8:159804973|rev|+	1	8.05963062264e-11	0	0	1
chr1|LRRC47:3696783|CEP104:3743308|rev|-	1	1.42934818586e-10	0	0	1
chr6|MDN1:90392850|MAP3K7:91233502|rev|-	0	0.0	1	1.21662648552e-09	1
chr7|LOC154761:143533732|FAM115A:143573715|rev|-	0	0.0	1	0.989546331371	1
chr12|CHD4:6679247|CHD4:6687712|rev|-	2	1.27528250331e-15	0	0	2
chr2|DUSP2:96809892|STARD7:96852652|rev|-	0	0.0	1	8.02864802473e-13	1
chr22|SPECC1L:24759312|MIF:24236958|rev|+	0	0.0	2	2.03989889077e-24	2
chr1|RPS8:45244412|DMAP1:44680021|rev|+	1	2.83822622955e-09	0	0	1
chr5|PTTG1:159855746|TTC1:159470139|rev|+	1	6.82071940842e-09	0	0	1
chr12|XPOT:64825603|XPOT:64812655|rev|+	1	9.69088221705e-10	0	0	1
chr2|ALPI:233321175|ALPP:233243909|rev|+	0	0.0	2	1.42480260922e-12	2
chr6|SLC35B2:44221837|SUPT3H:44982628|rev|-	1	2.52073680138e-09	0	0	1
chr9|RPL35:127620157|HSPA5:128002588|rev|-	2	4.2219908559e-19	0	0	2
chr11|SERGEF:17981016|SAAL1:18124893|rev|-	0	0.0	1	0.384425723588	1
chr20|PROCR:33765165|ITCH:33080305|rev|+	1	2.62411570183e-09	0	0	1
chr1|KIF14:200539038|DDX59:200613645|rev|-	0	0.0	1	8.0000273311e-13	1
chr14|SEC23A:39501122|SEC23A:39565343|rev|-	1	2.52073680138e-09	0	0	1
chr19|LMNB2:2431545|AES:3054035|rev|-	0	0.0	1	1.17085262178e-11	1
chr1|NBPF10:145367822|NBPF9:144828540|rev|+	0	0.0	2	9.29267069313e-11	2
chr2|ALPPL2:233273283|ALPP:233245332|rev|+	1	0.0904616375437	0	0	1
chr19|DNM2:10941054|ATG4D:10659579|rev|+	0	0.0	1	7.51773942646e-08	1
chr3|GNB4:179113875|PEX5L:179689453|rev|-	2	4.41840459242e-21	0	0	2
chr6|MICAL1:109765265|AKD1:109900829|rev|-	1	2.52073680138e-09	0	0	1
chr6|SERPINB9:2896286|SERPINB6:2954943|rev|-	0	0.0	1	4.44840273804e-08	1
chr19|DPF1:38706779|YIF1B:38800283|rev|-	0	0.0	1	1.17870040579e-09	1
chr11|TMEM132A:60704631|MS4A8B:60467046|rev|+	1	2.72996506938e-09	0	0	1
